symbol,group,exchange,time,date,snap_time,price,price_type,intra_buy_vol,intra_sell_vol,intra_delta,intra_buy_ratio,bid_price_1,bid_vol_1,ask_price_1,ask_vol_1,bid_price_2,bid_vol_2,ask_price_2,ask_vol_2,bid_price_3,bid_vol_3,ask_price_3,ask_vol_3,ema20,ema50,adx,supertrend,ema200,ema_cross_pct,price_vs_ema20_pct,price_vs_ema200_pct,rsi,macd,macd_sig,macd_hist,stoch_k,stoch_d,bb_lower,bb_mid,bb_upper,atr,bb_position,atr_pct,obv,cmf,mfi,vol_ma_ratio,vol_today,vol_avg_20d,ff_buy_val_5d,ff_sell_val_5d,ff_net_val_5d,ff_net_val_20d,insider_count,insider_latest,insider_name,r_period,r_pe,r_pb,r_roe,r_roa,r_eps,r_bvps,r_beta,r_div_yield,r_gross_margin,r_net_margin,r_quick_ratio,r_interest_cov,r_ev_ebitda,is_revenue,is_gross_profit,is_net_profit,is_operating_profit,is_eps,is_rev_growth,is_profit_growth,is_rev_growth_yoy,is_profit_growth_yoy,bs_total_assets,bs_equity,bs_total_liab,bs_short_debt,bs_long_debt,bs_debt_to_equity,cf_operating,cf_investing,cf_financing,cf_free,cf_quality_ratio,finance_score,finance_score_fund,finance_score_cf,finance_score_growth,industry,icb_code,ff_room,ff_trend,ff_consistency,ff_acceleration,ff_data_invalid,updated_at
TNT,GAINER,HSX,2026-07-22 12:28,2026-07-22,12:28,9.22,realtime,93100.0,1800.0,91300.0,0.98,9220.0,53300.0,,0.0,9000.0,4700.0,0.0,0.0,8900.0,7000.0,0.0,0.0,10.39,10.58,27.9,10.57,9.41,-1.8,-11.26,-2.02,31.89,-0.5,-0.27,-0.24,9.99,11.79,8.94,10.74,12.53,0.69,0.08,7.48,6938700.0,0.13,34.2,3.78,108000.0,28595.0,,,,,5,Mua,Nguyễn Bá Huấn,2026-Q1,32.51,0.69,0.9,1.66,266.41,12640.0,0.97,0.0,5.41,1.81,2.34,5.65,31.25,131736.12,1171.54,651.36,1421.69,130.0,0.29,-0.89,0.29,-0.89,832849.84,,188230.88,70605.59,520.0,,,,,,,-1,-3,0,2,Xây dựng và Vật liệu,2300,,,,,True,2026-07-22 12:28
LAF,GAINER,HSX,2026-07-22 12:28,2026-07-22,12:28,20.0,realtime,1500.0,3400.0,-1900.0,0.31,19700.0,8000.0,20000.0,3600.0,19500.0,5100.0,20100.0,3000.0,18000.0,100.0,20300.0,100.0,20.26,19.24,25.01,21.73,18.26,5.3,-1.28,9.53,50.02,0.36,-0.37,0.73,5.83,7.31,17.51,21.0,24.49,0.73,0.36,3.65,129600.0,0.25,49.73,0.18,4900.0,26625.0,,,,,5,Mua,Phan Ngọc Sơn,2026-Q1,7.21,1.12,6.5,7.69,2634.95,16926.0,0.39,8.0,12.97,5.83,0.49,7.05,0.0,134564.77,24677.56,12397.74,15504.34,814.0,0.77,2.23,0.77,2.23,,,,,,,-119011.33,-26843.94,150670.63,-145855.28,-2.97,13,13,-10,10,Thực phẩm và đồ uống,3500,,,,,True,2026-07-22 12:28
VVS,GAINER,HSX,2026-07-22 12:28,2026-07-22,12:28,107.0,realtime,17300.0,14200.0,3100.0,0.55,107000.0,1400.0,107500.0,300.0,106500.0,400.0,107600.0,800.0,106200.0,200.0,108200.0,1700.0,87.27,80.3,23.6,92.84,57.13,8.68,22.61,87.29,77.43,5.74,2.09,3.65,95.33,94.67,71.91,86.42,100.94,4.52,1.0,4.22,5029235.0,0.08,76.6,1.37,212400.0,154761.0,,,,,5,Mua,Nguyễn Phi Long,2026-Q1,4.32,2.14,26.94,7.64,15150.23,30538.0,0.92,2.0,8.99,5.99,0.97,17.1,0.0,2078204.04,124626.32,55068.51,69012.12,2558.0,0.83,1.11,0.83,1.11,5116020.76,657331.67,4458689.09,557846.79,,6.78,2133454.39,-2418137.42,259976.73,-284683.03,6.64,35,15,10,10,Ô tô và phụ tùng,3300,,,,,True,2026-07-22 12:28
FIR,GAINER,HSX,2026-07-22 12:28,2026-07-22,12:28,4.92,realtime,129700.0,700.0,129000.0,0.99,4720.0,200.0,4870.0,100.0,4710.0,1200.0,4880.0,2000.0,4700.0,300.0,4890.0,3200.0,5.0,5.14,20.09,5.16,6.41,-2.72,-1.6,-23.24,44.05,-0.08,-0.01,-0.06,41.58,38.92,4.78,5.03,5.28,0.17,0.28,3.46,-10804338.0,0.51,42.46,1.03,130400.0,126095.0,,,,,5,Bán,Vũ Hoàng Việt,2026-Q2,8.91,0.47,0.1,3.08,558.92,10538.0,0.69,0.0,27.19,3.47,1.09,1.44,0.0,43097.8,28336.77,14964.52,18668.19,233.0,0.0,0.0,0.0,0.0,1228284.06,744721.75,483562.31,124895.99,,0.65,223638.23,541.63,-225675.12,224179.86,113.61,20,12,10,-2,Bất động sản,8600,,,,,True,2026-07-22 12:28
TNI,GAINER,HSX,2026-07-22 12:28,2026-07-22,12:28,6.68,realtime,112400.0,137300.0,-24900.0,0.45,6680.0,5900.0,6880.0,3000.0,6670.0,7000.0,6890.0,12700.0,6660.0,300.0,6900.0,35700.0,5.67,5.26,42.28,5.66,4.98,7.79,17.81,34.14,78.27,0.43,0.14,0.29,83.99,89.89,4.22,5.47,6.72,0.34,0.98,5.09,16291200.0,0.28,81.63,0.48,411800.0,852575.0,,,,,5,Bán,Bùi Văn Diến,2026-Q1,5.24,0.44,9.67,6.03,957.89,11351.0,0.5,0.0,-7.44,14.85,1.59,15.06,7.65,322026.73,13422.48,4928.02,5287.77,,0.54,1.93,0.54,1.93,934401.92,595945.59,338456.32,191052.54,8414.72,0.57,,,,,,25,15,0,10,Tài nguyên Cơ bản,1700,,,,,True,2026-07-22 12:28
PTL,GAINER,HSX,2026-07-22 12:28,2026-07-22,12:28,1.91,realtime,1000.0,500.0,500.0,0.67,1860.0,300.0,1920.0,900.0,1820.0,200.0,1930.0,18000.0,1810.0,300.0,1940.0,17800.0,2.09,2.32,71.18,2.18,2.78,-9.91,-8.61,-31.29,28.4,-0.16,-0.0,-0.15,11.19,9.62,1.7,2.1,2.5,0.11,0.26,5.76,563700.0,-0.16,17.29,0.01,1600.0,142655.0,,,,,5,Mua,Nguyễn Tấn Thụ,2026-Q1,19.52,0.56,2.13,1.08,143.48,5041.0,0.8,0.0,-6.1,6.37,0.82,3.63,0.0,121509.59,26904.31,-656.74,5168.16,-7.0,0.17,-1.48,0.17,-1.48,1401668.35,504137.35,897531.01,150944.03,,1.78,194702.89,-196835.75,23807.89,-2132.86,16.23,15,5,10,0,Bất động sản,8600,,,,,True,2026-07-22 12:28
HSL,GAINER,HSX,2026-07-22 12:28,2026-07-22,12:28,7.72,realtime,36700.0,31200.0,5500.0,0.54,7640.0,100.0,7720.0,4700.0,7620.0,100.0,7900.0,6400.0,7600.0,200.0,7910.0,1200.0,8.18,7.3,34.57,9.46,7.97,12.05,-5.62,-3.14,47.59,0.37,-0.24,0.61,9.34,21.22,6.57,8.32,10.08,0.56,0.33,7.25,1628500.0,0.14,59.43,0.11,84200.0,784850.0,,,,,5,Mua,Nguyễn Thị Huyền Trang,2026-Q1,691.36,0.6,-0.21,0.08,10.11,11592.0,0.43,0.0,0.0,0.0,14.77,0.0,0.0,27276.27,761.94,-1772.91,-604.81,,2.15,-1.62,2.15,-1.62,468128.03,,21063.52,,,,,,,,,-1,-3,0,2,Thực phẩm và đồ uống,3500,,,,,True,2026-07-22 12:28
TDG,GAINER,HSX,2026-07-22 12:28,2026-07-22,12:28,2.47,realtime,8900.0,100.0,8800.0,0.99,2420.0,100.0,2460.0,6000.0,2410.0,7400.0,2470.0,1900.0,2400.0,8500.0,2480.0,3400.0,2.42,2.46,11.85,2.34,2.79,-1.63,2.07,-11.47,54.66,-0.0,0.01,-0.01,39.58,39.93,2.3,2.4,2.51,0.09,0.83,3.64,-1523900.0,-0.08,67.08,0.17,11300.0,67545.0,,,,,5,Mua,Nguyễn Thị Linh Hương,2026-Q1,13.39,0.28,1.4,0.59,225.61,10717.0,0.7,0.0,3.58,0.55,0.67,1.56,0.0,325185.9,20470.85,310.62,730.91,,0.22,-0.74,0.22,-0.74,961340.82,259474.11,701866.71,386657.06,157180.03,2.71,154445.78,-241113.88,59166.0,-86668.1,27.1,21,9,10,2,"Điện, nước & xăng dầu khí đốt",7500,,,,,True,2026-07-22 12:28
PVT,GAINER,HSX,2026-07-22 12:28,2026-07-22,12:28,16.65,realtime,41200.0,121900.0,-80700.0,0.25,16550.0,17600.0,16650.0,171500.0,16500.0,13100.0,16700.0,9100.0,16450.0,12700.0,16750.0,55300.0,18.59,19.39,23.42,19.21,18.68,-4.13,-10.44,-10.87,27.65,-0.77,-0.29,-0.48,2.85,6.21,16.72,18.94,21.15,0.77,0.0,4.62,-13907788.0,-0.44,28.01,1.02,2952600.0,2880630.0,,,,,5,Mua,Nguyễn Thanh Hà,2026-Q1,7.24,0.75,2.35,4.95,2541.12,24452.0,0.9,0.0,14.96,7.7,1.76,4.81,6.3,4351967.76,598847.33,293686.73,423354.33,625.0,0.56,0.37,0.56,0.37,22313047.23,11490875.04,10822172.19,1393507.11,6246021.12,0.94,3161225.06,-3123382.08,701466.1,37842.98,3.05,32,12,10,10,Hàng & Dịch vụ Công nghiệp,2700,,,,,True,2026-07-22 12:28
HAP,GAINER,HSX,2026-07-22 12:28,2026-07-22,12:28,7.17,realtime,18000.0,100.0,17900.0,0.99,6820.0,100.0,7150.0,400.0,6810.0,600.0,7160.0,500.0,6800.0,3100.0,7170.0,10600.0,7.06,7.0,24.23,6.41,7.06,0.86,1.56,1.56,55.24,0.1,0.0,0.1,70.37,73.95,6.69,7.05,7.41,0.29,0.66,4.04,4211500.0,0.58,46.4,0.18,18200.0,98390.0,,,,,5,Mua,Trần Quang Tiến,2026-Q1,-5.9,0.7,-9.83,-8.87,-1239.48,10498.0,0.19,0.0,13.58,-96.09,8.02,-485.2,0.0,151341.89,25590.15,-4140.6,-3634.97,-37.0,0.16,0.52,0.16,0.52,1254938.17,1164724.64,90213.53,17472.41,,0.08,48582.64,-21078.01,-8924.45,27504.63,-0.46,5,-3,0,8,Tài nguyên Cơ bản,1700,,,,,True,2026-07-22 12:28
ACC,LOSER,HSX,2026-07-22 12:28,2026-07-22,12:28,6.02,realtime,9000.0,0.0,9000.0,1.0,,0.0,6020.0,7716300.0,0.0,0.0,6470.0,1410000.0,0.0,0.0,6900.0,4900.0,9.38,10.92,56.92,7.69,12.55,-14.1,-35.82,-52.03,6.45,-1.45,-0.45,-1.0,0.0,0.0,6.02,9.99,13.97,0.56,0.0,9.3,-1332900.0,0.08,2.18,0.32,11300.0,35690.0,,,,,5,Bán,Hoàng Xuân Quang,2026-Q1,26.77,0.94,3.57,1.69,,,,0.0,13.34,6.26,0.63,,25.45,,,,,,,,,,,,,,,,,,,,,-3,-3,0,0,Xây dựng và Vật liệu,2300,,,,,True,2026-07-22 12:28
PNJ,LOSER,HSX,2026-07-22 12:28,2026-07-22,12:28,35.5,realtime,96600.0,0.0,96600.0,1.0,,0.0,35500.0,16541700.0,0.0,0.0,35550.0,7500.0,0.0,0.0,35600.0,24900.0,48.93,57.38,48.52,44.73,62.51,-14.73,-27.45,-43.21,19.74,-6.84,-1.31,-5.53,0.69,3.11,32.34,51.26,70.18,2.69,0.08,7.58,-6892444.0,-0.2,16.71,1.36,7328100.0,5378030.0,,,,,5,Mua,Phan Quốc Công,2026-Q1,11.59,2.49,9.65,15.79,8368.83,38915.0,0.78,1.0,25.13,12.67,0.4,46.43,0.0,7582449.57,1633611.94,441636.51,552623.85,1204.0,-0.21,-0.35,-0.21,-0.35,20168475.77,13275754.82,6892720.95,4223385.64,,0.52,18890.4,-893788.03,272974.96,-874897.63,0.01,1,7,0,-6,Hàng cá nhân & Gia dụng,3700,,,,,True,2026-07-22 12:28
SGT,LOSER,HSX,2026-07-22 12:28,2026-07-22,12:28,10.75,realtime,55000.0,0.0,55000.0,1.0,,0.0,10750.0,54800.0,0.0,0.0,11500.0,200.0,0.0,0.0,11550.0,8000.0,12.82,13.88,61.46,12.91,15.59,-7.64,-16.15,-31.05,14.49,-0.88,-0.2,-0.68,11.6,11.82,10.81,13.12,15.43,0.67,0.0,6.23,-430300.0,0.46,3.47,1.99,55100.0,27625.0,,,,,5,Bán,,2026-Q1,6.44,0.98,0.51,4.82,2537.86,16630.0,0.18,0.0,39.54,2.31,0.54,2.67,60.07,182113.59,74100.23,3497.59,15566.41,24.0,-0.79,-0.99,-0.79,-0.99,7685359.47,2461242.29,5224117.18,1856821.29,1869980.7,2.12,36499.5,-130131.27,154476.7,-93631.76,0.11,6,12,0,-6,Công nghệ Thông tin,9500,,,,,True,2026-07-22 12:28
SAM,LOSER,HSX,2026-07-22 12:28,2026-07-22,12:28,5.46,realtime,2500.0,27500.0,-25000.0,0.08,5500.0,100.0,5600.0,1300.0,5490.0,2100.0,5630.0,500.0,5470.0,300.0,5650.0,300.0,5.86,6.01,21.86,5.97,6.64,-2.5,-6.83,-17.77,20.47,-0.1,-0.03,-0.07,24.07,20.57,5.64,5.88,6.13,0.13,0.0,2.38,3215783.0,-0.0,18.37,0.45,30000.0,66110.0,,,,,5,Mua,,2026-Q1,32.72,0.64,0.97,1.35,244.48,12534.0,0.65,0.0,2.38,2.35,1.4,3.56,42.49,1403762.18,54716.34,31112.86,38770.3,81.9,0.21,7.85,0.21,7.85,7167636.17,4762289.25,2405346.92,1292451.96,387300.0,0.51,-359363.78,-139907.07,453234.66,-499270.85,-3.73,-3,-3,-10,10,Công nghệ Thông tin,9500,,,,,True,2026-07-22 12:28
VHM,LOSER,HSX,2026-07-22 12:28,2026-07-22,12:28,129.1,realtime,18900.0,20900.0,-2000.0,0.47,129000.0,10900.0,129100.0,3100.0,128900.0,700.0,129300.0,400.0,128800.0,24800.0,129400.0,400.0,142.22,141.62,19.99,149.14,120.51,0.42,-9.23,7.13,34.1,-2.74,-1.99,-0.75,8.67,17.44,131.78,145.75,159.71,5.64,0.0,4.37,-15314639.0,-0.26,34.31,0.88,3773900.0,4271185.0,,,,,5,Bán,,2026-Q1,12.38,2.05,11.07,5.93,10019.1,60356.0,1.35,0.0,32.64,26.02,1.06,12.83,16.79,19022223.0,4523840.0,7553449.0,8742571.0,1839.0,0.21,1.81,0.21,1.81,786375247.0,247905598.0,538469649.0,43376867.0,102878889.0,2.17,41189141.0,-78087978.0,58080605.0,-36898837.0,0.98,22,7,5,10,Bất động sản,8600,,,,,True,2026-07-22 12:28
MWG,LOSER,HSX,2026-07-22 12:28,2026-07-22,12:28,71.9,realtime,84200.0,44100.0,40100.0,0.66,71900.0,43900.0,72000.0,7100.0,71800.0,20100.0,72100.0,21900.0,71700.0,36200.0,72200.0,5000.0,76.71,78.29,26.43,79.57,80.12,-2.02,-6.27,-10.26,31.66,-1.07,-0.41,-0.66,17.1,21.01,73.71,77.31,80.91,1.92,0.0,2.67,75388975.0,0.14,16.19,1.46,5459200.0,3744295.0,,,,,5,Mua,Đoàn Văn Hiểu Em,2026-Q1,18.51,3.94,6.38,8.85,4774.77,22442.0,1.21,1.0,18.78,4.87,0.98,7.5,0.0,37619968.66,7568700.66,1648146.25,2041250.77,1117.0,0.04,0.07,0.04,0.07,83958619.49,33179015.13,50779604.36,29930942.96,,1.53,6096140.69,-6660775.39,667171.75,-564634.7,0.87,7,0,5,2,Bán lẻ,5300,,,,,True,2026-07-22 12:28
GEL,LOSER,HSX,2026-07-22 12:28,2026-07-22,12:28,23.4,realtime,38200.0,26500.0,11700.0,0.59,23350.0,100.0,23400.0,8700.0,23300.0,2400.0,23500.0,6100.0,23250.0,2800.0,23550.0,10700.0,28.24,30.34,36.88,28.04,,-6.92,-17.14,,17.52,-1.78,-0.58,-1.2,2.74,9.02,24.02,29.05,34.08,1.23,0.0,5.26,1690000.0,-0.29,10.86,0.48,1002300.0,2076455.0,,,,,1,Mua,Nguyễn Quang Việt,2026-Q1,0.0,0.0,0.22,0.0,202.0,23954.0,0.0,0.0,33.33,9.34,0.96,4.52,6.47,2984702.01,850840.58,91031.68,327572.59,115.0,-0.23,-0.72,-0.23,-0.72,46834859.83,18960484.89,27874374.94,5856459.1,11623954.38,1.47,1760284.82,-7408751.97,7407711.78,-5648467.16,3.66,1,-3,10,-6,Xây dựng và Vật liệu,2300,,,,,True,2026-07-22 12:28
TCM,LOSER,HSX,2026-07-22 12:28,2026-07-22,12:28,15.45,realtime,43200.0,76500.0,-33300.0,0.36,15350.0,100.0,15400.0,15100.0,15300.0,14600.0,15450.0,7500.0,15250.0,93300.0,15500.0,10000.0,19.02,20.03,46.86,17.51,23.25,-5.04,-18.77,-33.55,2.97,-0.89,-0.44,-0.44,1.63,3.32,16.75,19.44,22.12,0.53,0.0,3.43,-20478157.0,0.19,16.69,1.82,1698300.0,931890.0,,,,,5,Bán,Nguyễn Văn Nghĩa,2026-Q1,10.57,1.22,1.9,6.57,2517.3,21842.0,0.64,2.0,15.88,5.45,1.21,6.96,19.05,872993.09,160429.09,81426.47,102346.08,,-0.14,0.04,-0.14,0.04,4171199.74,2447184.93,1724014.82,743401.35,166357.88,0.7,234986.87,-25438.55,42098.03,209548.32,0.87,10,7,5,-2,Hàng cá nhân & Gia dụng,3700,,,,,True,2026-07-22 12:28
TAL,LOSER,HSX,2026-07-22 12:28,2026-07-22,12:28,20.4,realtime,3700.0,72500.0,-68800.0,0.05,20400.0,1100.0,21150.0,3000.0,20350.0,5100.0,21200.0,1500.0,20300.0,3000.0,21300.0,200.0,23.72,26.38,65.21,24.27,29.74,-10.08,-14.0,-31.41,17.59,-1.88,-0.24,-1.64,7.65,11.56,19.55,24.22,28.89,1.04,0.09,5.1,15716377.0,-0.03,5.55,0.77,151500.0,195845.0,,,,,5,Bán,nan,2026-Q1,25.2,3.34,6.66,5.22,2047.44,15432.0,0.64,0.03,40.96,25.11,1.01,15.34,39.81,556926.11,185152.38,35098.46,60341.03,122.0,0.48,0.73,0.48,0.73,15312108.51,5555570.18,8783617.53,1103530.15,3223829.31,1.76,-1654156.14,46959.04,2408986.89,-1607197.1,-2.57,-8,-8,-10,10,Bất động sản,8600,,,,,True,2026-07-22 12:28
ELC,LOSER,HSX,2026-07-22 12:28,2026-07-22,12:28,13.85,realtime,205800.0,85000.0,120800.0,0.71,13850.0,3000.0,13900.0,2900.0,13800.0,14400.0,13950.0,7200.0,13750.0,11300.0,14000.0,31500.0,16.01,16.52,29.16,15.84,19.28,-3.09,-13.49,-28.16,18.63,-0.43,-0.3,-0.13,8.55,17.96,14.67,16.39,18.11,0.53,0.0,3.83,-11340427.0,0.41,22.92,1.45,466700.0,321860.0,,,,,5,Bán,Ngô Ngọc Hà,2026-Q1,18.9,1.75,4.58,5.61,1301.81,14042.0,0.72,0.0,16.59,9.56,2.14,18.31,25.28,268635.54,40705.06,14692.06,13877.72,149.0,3.38,2.08,3.38,2.08,2494782.6,1545890.14,948892.46,226093.02,170118.8,0.61,-304976.06,-138536.27,533485.58,-443512.33,-2.39,3,3,-10,10,Công nghệ Thông tin,9500,,,,,True,2026-07-22 12:28
