symbol,group,exchange,time,date,snap_time,price,price_type,intra_buy_vol,intra_sell_vol,intra_delta,intra_buy_ratio,bid_price_1,bid_vol_1,ask_price_1,ask_vol_1,bid_price_2,bid_vol_2,ask_price_2,ask_vol_2,bid_price_3,bid_vol_3,ask_price_3,ask_vol_3,_ta_window,_last_close,ema20,ema50,adx,supertrend,ema200,ema_cross_pct,price_vs_ema20_pct,price_vs_ema200_pct,rsi,macd,macd_sig,macd_hist,stoch_k,stoch_d,bb_lower,bb_mid,bb_upper,atr,bb_position,atr_pct,obv,cmf,mfi,linreg_20,linreg_slope_pct,aroon_osc,donchian_upper_prev,donchian_lower_prev,ad_line,ad_slope_20d_pct,efi_13,willr_14,vol_ma_ratio,vol_today,vol_avg_20d,high_52w,low_52w,roc_10,return_20d,_cached_date,_ta_from_cache,_ta_stale_days,_should_cache,ff_room,ff_room_max_pct,ff_room_raw,ff_total_room_raw,ff_buy_val_5d,ff_sell_val_5d,ff_net_val_5d,ff_net_val_20d,ff_trend,ff_consistency,ff_acceleration,pt_net_val_5d,pt_net_val_20d,insider_buy_count,insider_sell_count,insider_count,insider_latest,insider_name,r_period,r_pe,r_pb,r_roe,r_roa,r_eps,r_bvps,r_beta,r_div_yield,r_gross_margin,r_net_margin,r_quick_ratio,r_interest_cov,r_ev_ebitda,is_revenue,is_gross_profit,is_net_profit,is_operating_profit,is_eps,is_rev_growth,is_profit_growth,is_rev_growth_yoy,is_profit_growth_yoy,eps_consistency,bs_total_assets,bs_equity,bs_total_liab,bs_short_debt,bs_long_debt,bs_debt_to_equity,cf_operating,cf_investing,cf_financing,cf_free,cf_quality_ratio,finance_score,finance_score_fund,finance_score_cf,finance_score_growth,industry,icb_code,vnindex_return_20d,vnindex_return_5d,pt_trend,updated_at
DXS,GAINER,HSX,2026-07-10 13:25,2026-07-10,13:25,7.19,realtime,223300.0,27600.0,195700.0,0.89,7160.0,100.0,7180.0,9000.0,7150.0,22700.0,7190.0,45900.0,7130.0,2000.0,7200.0,130400.0,12M,7.19,7.21,7.38,13.72,7.54,8.85,-2.3,-0.28,-18.76,47.39,-0.14,-0.0,-0.14,49.76,37.97,6.83,7.24,7.65,0.25,0.44,3.48,12891400.0,-0.08,32.72,6.96,-3.19,-71.43,7.8,6.64,-37278.44,-102.09,10984.32,-31.25,0.92,1100800.0,1196370.0,14.35,5.8,0.42,-1.51,2026-07-10,False,0,True,0.0,50.0,249689441.0,289551562.0,1.48,0.58,0.9,-0.39,0.03,0.47,0.2,-323000.0,-323000.0,10,4,14,Bán,nan,2026-Q1,14.08,0.6,0.43,2.3,644.3,15209.0,1.31,0.0,36.57,2.52,1.57,3.05,92.69,1229358.53,585429.17,217834.82,339253.15,376.0,1.4,4.44,1.4,4.44,1.0,,,,,,,-136768.91,-284833.85,800584.68,-421602.76,-0.39,9,9,-10,10,Bất động sản,8600,2.37,-1.5,,2026-07-10 13:26
DXG,GAINER,HSX,2026-07-10 13:25,2026-07-10,13:25,12.35,realtime,217300.0,207900.0,9400.0,0.51,12300.0,2114000.0,12350.0,1037500.0,12250.0,2049300.0,12400.0,882200.0,12200.0,2007000.0,12450.0,758100.0,12M,12.35,12.47,12.8,18.29,12.87,14.8,-2.58,-0.96,-16.55,44.81,-0.26,-0.03,-0.24,26.5,17.38,11.65,12.58,13.52,0.34,0.38,2.75,194607532.0,-0.17,35.76,11.92,-3.93,-78.57,13.55,11.75,46871098.01,-38.35,-258337.31,-55.56,0.69,5833000.0,8497340.0,21.49,11.23,-0.8,-3.52,2026-07-10,False,0,True,0.0,50.0,397530306.0,634926225.0,33.88,18.47,15.42,-173.9,2.14,0.21,12.24,-1428395000.0,-1063912000.0,0,5,5,Bán,nan,2026-Q1,68.41,0.91,0.03,0.66,249.97,18754.0,1.38,0.0,58.45,4.41,1.27,2.48,150.57,1045664.08,476306.2,84498.4,236111.67,95.0,0.13,0.75,0.13,0.75,1.0,,,,,,,1389860.91,-1062400.77,1814547.23,327460.14,3.82,15,-3,10,8,Bất động sản,8600,2.37,-1.5,-0.01,2026-07-10 13:26
VNM,GAINER,HSX,2026-07-10 13:25,2026-07-10,13:25,56.5,realtime,138800.0,17200.0,121600.0,0.89,56500.0,59400.0,56600.0,77900.0,56400.0,90900.0,56700.0,97800.0,56300.0,57300.0,56800.0,104000.0,12M,56.5,56.06,57.08,29.55,57.33,58.58,-1.79,0.78,-3.55,52.06,-0.44,0.08,-0.52,48.61,33.88,54.47,56.2,57.92,0.75,0.59,1.33,2477638.0,-0.31,30.59,55.08,-0.78,-71.43,57.9,54.6,-260792144.9,-7.62,105581.81,-24.9,1.25,3761300.0,3005725.0,73.11,53.26,0.36,-1.1,2026-07-10,False,0,True,0.0,100.0,1075787149.0,2089955445.0,345.6,149.1,192.95,-314.14,3.48,0.32,55.12,-37744924000.0,-17326334000.0,5,1,6,Mua,,2026-Q1,13.59,3.71,7.84,17.17,4502.58,16499.0,0.52,8.0,40.45,16.6,1.59,39.64,25.73,16724597.48,7021677.92,2474585.3,3118598.3,1046.0,0.29,0.58,0.29,0.58,1.0,,,,,,,8668137.05,1976101.22,-11081926.06,10644238.27,0.92,19,4,5,10,Thực phẩm và đồ uống,3500,2.37,-1.5,-1.4,2026-07-10 13:26
DIG,GAINER,HSX,2026-07-10 13:25,2026-07-10,13:25,12.4,realtime,187400.0,38400.0,149000.0,0.83,12400.0,82800.0,12450.0,168400.0,12350.0,173000.0,12500.0,279600.0,12300.0,174300.0,12550.0,193600.0,12M,12.4,12.5,13.09,22.36,12.83,16.37,-4.51,-0.8,-24.25,44.15,-0.28,0.02,-0.31,49.29,35.45,11.82,12.55,13.27,0.36,0.4,2.9,-17085490.0,-0.2,36.75,12.03,-3.33,-78.57,13.4,11.55,-549954689.19,-3.06,162406.7,-39.29,0.58,2411600.0,4189295.0,25.1,11.55,0.4,-1.59,2026-07-10,False,0,True,0.0,49.0,375928661.0,390251283.0,22.24,4.19,18.04,14.42,0.26,0.47,2.85,-28015000.0,-28015000.0,0,9,9,Bán,Nguyễn Hùng Cường,2026-Q1,16.34,1.33,4.64,3.41,1025.08,12592.0,1.5,0.0,22.1,14.33,1.39,19.33,19.82,274310.85,106885.76,48552.71,44737.75,,0.79,2.37,0.79,2.37,1.0,,,,,,,2167807.44,171856.53,154346.32,2339663.96,3.35,23,3,10,10,Bất động sản,8600,2.37,-1.5,0.0,2026-07-10 13:26
LPB,GAINER,HSX,2026-07-10 13:25,2026-07-10,13:25,52.9,realtime,87300.0,206500.0,-119200.0,0.3,52900.0,33600.0,53000.0,31000.0,52800.0,42600.0,53100.0,30900.0,52700.0,53500.0,53200.0,36300.0,12M,52.9,51.75,49.8,21.88,50.57,45.27,3.92,2.22,16.85,55.97,1.03,-0.02,1.05,42.96,50.34,45.44,51.44,57.44,1.95,0.62,3.69,110195863.0,-0.03,74.76,54.59,-0.02,21.43,58.5,45.1,-20801331.6,-9.48,961909.13,-67.47,0.44,1160300.0,2660685.0,58.5,31.04,-0.19,16.26,2026-07-10,False,0,True,0.0,5.0,115714767.0,149364105.0,91.14,93.59,-2.45,97.27,-0.47,0.68,-5.61,788439585000.0,824835885000.0,13,7,20,Mua,Nguyễn Văn Ngọc,2026-Q1,10.9,2.65,8.23,2.12,3834.74,15797.8,0.61,6.0,,,,,,,,,,,,,,,,,,,,,,56241284.0,-1043171.0,-7468205.0,55198113.0,,12,7,5,0,Ngân hàng,8300,2.37,-1.5,6.85,2026-07-10 13:26
BMP,GAINER,HSX,2026-07-10 13:25,2026-07-10,13:25,147.1,realtime,5700.0,13000.0,-7300.0,0.3,147000.0,900.0,147500.0,2200.0,146800.0,1000.0,147700.0,2900.0,146700.0,700.0,147900.0,5100.0,12M,147.1,147.59,144.07,28.45,144.42,142.97,2.44,-0.33,2.89,51.14,2.01,-0.84,2.86,22.58,32.49,140.38,148.78,157.18,3.33,0.4,2.26,-1342595.0,0.27,60.25,151.71,-3.67,-28.57,155.0,135.0,-2374563.92,26.18,-2769.7,-71.82,0.12,19400.0,160360.0,180.67,114.64,-3.86,8.96,2026-07-10,False,0,True,0.0,100.0,15075362.0,81860938.0,24.63,18.2,6.43,107.15,-0.06,0.79,-4.35,-593610000.0,-2933920000.0,9,11,20,Bán,Phùng Hữu Luận,2026-Q1,11.66,4.98,8.67,33.87,15010.03,35151.0,0.48,7.0,47.0,20.32,4.62,93928.13,0.0,1308129.56,610817.36,329900.33,411646.62,4030.0,-0.05,0.15,-0.05,0.15,1.0,,,,,,,1218889.67,-381977.47,-1043726.96,836912.19,0.99,11,4,5,2,Xây dựng và Vật liệu,2300,2.37,-1.5,-0.03,2026-07-10 13:26
CII,GAINER,HSX,2026-07-10 13:25,2026-07-10,13:25,16.45,realtime,222100.0,118100.0,104000.0,0.65,16450.0,68500.0,16500.0,66400.0,16400.0,68300.0,16550.0,103400.0,16350.0,125000.0,16600.0,103200.0,12M,16.45,17.08,17.5,12.99,18.07,19.7,-2.4,-3.69,-16.5,39.81,-0.27,-0.08,-0.19,13.35,16.35,16.32,17.26,18.2,0.58,0.07,3.53,484582077.0,-0.36,26.64,16.62,-5.09,-100.0,18.65,16.25,-564533749.64,-14.45,-1215026.0,-87.88,0.28,2921500.0,10453375.0,31.35,12.96,-3.52,-5.19,2026-07-10,False,0,True,0.0,40.0,245576716.0,268794116.0,9.97,19.63,-9.66,-56.61,0.44,0.21,1.05,-6737000000.0,-1284129000.0,8,12,20,Mua,Trần Thị Tuất,2026-Q1,83.03,1.09,0.63,0.37,251.73,19133.0,1.74,2.0,56.9,16.46,0.91,1.41,30.64,750961.77,420900.46,35735.64,149341.09,59.0,0.08,0.98,0.08,0.98,1.0,,,,,,,-501844.47,-1360282.84,1312458.21,-1862127.32,-4.05,-9,-5,-10,6,Xây dựng và Vật liệu,2300,2.37,-1.5,-0.17,2026-07-10 13:26
VHC,GAINER,HSX,2026-07-10 13:25,2026-07-10,13:25,58.2,realtime,19800.0,21300.0,-1500.0,0.48,58100.0,2600.0,58200.0,3700.0,58000.0,6000.0,58300.0,2200.0,57900.0,4600.0,58400.0,1100.0,12M,58.2,58.67,58.94,21.67,57.19,58.29,-0.46,-0.8,-0.15,47.11,-0.1,-0.12,0.02,42.18,40.14,56.86,58.82,60.78,1.24,0.34,2.13,-53714.0,0.13,52.47,58.89,-2.52,-42.86,61.1,56.2,-10093047.05,5.47,-13066.76,-59.18,0.18,41400.0,232780.0,69.9,50.7,-3.16,1.93,2026-07-10,False,0,True,0.0,100.0,169795108.0,209453159.0,12.05,16.17,-4.12,-47.74,0.1,0.47,1.69,6400000000.0,19946280000.0,13,7,20,Mua,nan,2026-Q1,9.35,1.26,2.21,10.26,6000.6,44495.0,0.91,4.0,15.8,9.02,1.94,25.41,0.0,3193505.18,623051.24,498582.59,586344.44,2221.0,0.21,1.58,0.21,1.58,1.0,,,,,,,2407151.12,-287420.75,-679834.15,2119730.37,1.7,30,10,10,10,Thực phẩm và đồ uống,3500,2.37,-1.5,0.13,2026-07-10 13:26
NVL,GAINER,HSX,2026-07-10 13:25,2026-07-10,13:25,12.55,realtime,123700.0,92300.0,31400.0,0.57,12500.0,130800.0,12550.0,32300.0,12450.0,268000.0,12600.0,342800.0,12400.0,258200.0,12650.0,218200.0,12M,12.55,12.75,13.34,36.83,13.59,13.68,-4.42,-1.57,-8.26,43.48,-0.33,0.07,-0.4,58.62,51.69,12.0,12.73,13.45,0.5,0.38,3.98,194081935.0,-0.02,46.12,12.26,-1.68,-50.0,13.75,11.7,-445049608.22,-1.33,106097.9,-34.62,0.44,5366300.0,12185686.0,19.53,9.3,0.0,-3.46,2026-07-10,False,0,True,0.0,49.0,1063536176.0,1177013306.0,65.92,53.58,12.35,-76.41,0.79,0.32,6.49,37506585000.0,22735580000.0,0,2,2,Bán,nan,2026-Q1,15.47,0.46,5.8,0.71,863.1,28741.0,1.36,0.0,164.77,232.11,0.56,96.1,24.74,1936598.23,691106.31,-160571.47,-400170.12,-82.0,0.09,0.64,0.09,0.64,1.0,,,,,,,-6145392.03,266367.22,5666897.85,-5879024.8,-3.3,4,8,-10,6,Bất động sản,8600,2.37,-1.5,0.6,2026-07-10 13:26
NAB,GAINER,HSX,2026-07-10 13:25,2026-07-10,13:25,13.3,realtime,656500.0,401100.0,255400.0,0.62,13250.0,121900.0,13300.0,24200.0,13200.0,111800.0,13350.0,75600.0,13150.0,195600.0,13400.0,115400.0,12M,13.3,12.94,12.49,38.8,12.47,12.22,3.6,2.78,8.84,65.72,0.28,0.01,0.28,85.75,84.14,12.24,12.93,13.62,0.27,0.77,2.03,44453490.0,0.37,76.12,13.44,0.65,71.43,13.45,12.05,-4229105.26,81.2,152638.68,-18.75,0.74,1829000.0,2484690.0,14.42,10.08,1.92,8.13,2026-07-10,False,0,True,0.0,30.0,594039657.0,617646684.0,21.27,16.79,4.47,28.18,-0.04,0.79,-0.59,60816790000.0,57540520000.0,11,1,12,Mua,Trần Huy Khang,2026-Q1,5.16,1.05,4.99,1.22,2773.03,13656.79,0.19,0.0,,,,,,,,,,,,,,,,,,,,,,118612421.0,-808859.0,-159.0,117803562.0,,15,10,5,0,Ngân hàng,8300,2.37,-1.5,0.73,2026-07-10 13:26
