symbol,date,ff_buy,ff_sell,ff_net,ff_net_bil,ff_room
CRE,2026-05-22,102885000.0,47526000.0,55359000.0,0.06,214752144.0
HSL,2026-05-22,49400000.0,7920000.0,41480000.0,0.04,18753652.0
NHT,2026-05-22,66600000.0,35205000.0,31395000.0,0.03,11276779.0
VNE,2026-05-22,12800000.0,0.0,12800000.0,0.01,43504926.0
CNG,2026-05-22,2230000.0,0.0,2230000.0,0.0,16615656.0
DQC,2026-05-22,4300000.0,2250000.0,2050000.0,0.0,16630948.0
VPH,2026-05-22,1029000.0,0.0,1029000.0,0.0,46361939.0
HRC,2026-05-22,0.0,0.0,0.0,0.0,0.0
VRC,2026-05-22,0.0,0.0,0.0,0.0,24449756.0
C32,2026-05-22,0.0,0.0,0.0,0.0,14847541.0
ABS,2026-05-22,0.0,0.0,0.0,0.0,0.0
FDC,2026-05-22,0.0,0.0,0.0,0.0,19308063.0
TNT,2026-05-22,0.0,31755000.0,-31755000.0,-0.03,24477891.0
QCG,2026-05-22,39690000.0,389130000.0,-349440000.0,-0.35,129750045.0
TV2,2026-05-22,595250000.0,1163765000.0,-568515000.0,-0.57,4879497.0
PVP,2026-05-22,322165000.0,2516190000.0,-2194025000.0,-2.19,49040217.0
GEE,2026-05-22,2482594100.0,9997019000.0,-7514424900.0,-7.51,178321047.0
VND,2026-05-22,4472815000.0,33838980000.0,-29366165000.0,-29.37,1388693387.0
GEX,2026-05-22,2948795000.0,49907853750.0,-46959058750.0,-46.96,371288306.0
VHM,2026-05-22,148074484100.0,287900801300.0,-139826317200.0,-139.83,1735748745.0
