symbol,index,last_price,last_updated,price_change_1d,price_change_percent_1d,accumulated_value,avg_volume_20d,volume_spike_20d_percent,total_volume_avg_20d,deal_volume_spike_20d_percent,deal_volume_spike_5d_20d_percent,deal_volume_sum_5d,deal_value_avg_5d,deal_volume_avg_5d,exchange,group,date,updated_at
VNE,VNINDEX,3.55,2026-06-01 13:22,0.23,6.93,2.86,1283545.0,62.82,1377545.0,0.0,1.45,100000.0,0.05,20000.0,HSX,GAINER,2026-06-01,2026-06-01 13:23
BKG,VNINDEX,2.63,2026-06-01 13:22,0.17,6.91,0.37,64040.0,220.96,64040.0,0.0,0.0,0.0,0.0,0.0,HSX,GAINER,2026-06-01,2026-06-01 13:23
BFC,VNINDEX,59.2,2026-06-01 13:22,3.8,6.86,38.9,258370.0,261.33,277870.0,0.0,0.0,0.0,0.0,0.0,HSX,GAINER,2026-06-01,2026-06-01 13:23
TSC,VNINDEX,2.35,2026-06-01 13:22,0.15,6.82,0.62,129435.0,208.83,129435.0,0.0,0.0,0.0,0.0,0.0,HSX,GAINER,2026-06-01,2026-06-01 13:23
ST8,VNINDEX,3.16,2026-06-01 13:22,0.2,6.76,0.72,82030.0,288.19,82030.0,0.0,0.0,0.0,0.0,0.0,HSX,GAINER,2026-06-01,2026-06-01 13:23
FIT,VNINDEX,4.11,2026-06-01 13:22,0.26,6.75,2.24,370405.0,151.67,370405.0,0.0,0.0,0.0,0.0,0.0,HSX,GAINER,2026-06-01,2026-06-01 13:23
HQC,VNINDEX,2.57,2026-06-01 13:22,0.16,6.64,6.69,2054275.0,127.09,2061525.0,0.0,1.41,145000.0,0.07,29000.0,HSX,GAINER,2026-06-01,2026-06-01 13:23
VND,VNINDEX,17.85,2026-06-01 13:22,1.0,5.93,222.6,15745385.0,81.31,16200775.05,0.0,0.0,0.0,0.0,0.0,HSX,GAINER,2026-06-01,2026-06-01 13:23
ABS,VNINDEX,3.09,2026-06-01 13:22,0.12,4.04,0.97,207890.0,149.5,207890.0,0.0,0.0,0.0,0.0,0.0,HSX,GAINER,2026-06-01,2026-06-01 13:23
D2D,VNINDEX,32.65,2026-06-01 13:22,1.25,3.98,0.77,46370.0,51.33,46370.0,0.0,0.0,0.0,0.0,0.0,HSX,GAINER,2026-06-01,2026-06-01 13:23
VRC,VNINDEX,12.4,2026-06-01 13:22,-0.85,-6.42,0.06,12940.0,40.19,12940.0,0.0,0.0,0.0,0.0,0.0,HSX,LOSER,2026-06-01,2026-06-01 13:23
NHT,VNINDEX,11.0,2026-06-01 13:22,-0.65,-5.58,0.08,65335.0,11.63,65335.0,0.0,0.0,0.0,0.0,0.0,HSX,LOSER,2026-06-01,2026-06-01 13:23
TNT,VNINDEX,9.36,2026-06-01 13:22,-0.46,-4.68,0.15,100495.0,15.42,212145.0,0.0,187.61,1990000.0,3.89,398000.0,HSX,LOSER,2026-06-01,2026-06-01 13:23
TCO,VNINDEX,13.45,2026-06-01 13:22,-0.65,-4.61,1.45,303950.0,35.07,303950.0,0.0,0.0,0.0,0.0,0.0,HSX,LOSER,2026-06-01,2026-06-01 13:23
BCE,VNINDEX,8.65,2026-06-01 13:22,-0.3,-3.35,0.08,49530.0,19.38,142180.0,0.0,23.91,170000.0,0.28,34000.0,HSX,LOSER,2026-06-01,2026-06-01 13:23
MSB,VNINDEX,14.8,2026-06-01 13:22,-0.5,-3.27,97.23,19128840.0,34.17,40260315.8,0.0,33.01,66444542.0,185.1,13288908.4,HSX,LOSER,2026-06-01,2026-06-01 13:23
BSR,VNINDEX,28.8,2026-06-01 13:22,-0.95,-3.19,152.78,17758075.0,29.33,17793075.0,0.0,0.0,0.0,0.0,0.0,HSX,LOSER,2026-06-01,2026-06-01 13:23
DGC,VNINDEX,45.1,2026-06-01 13:22,-1.4,-3.01,49.4,2773110.0,39.24,2828010.0,0.0,0.0,0.0,0.0,0.0,HSX,LOSER,2026-06-01,2026-06-01 13:23
EVE,VNINDEX,10.1,2026-06-01 13:22,-0.3,-2.88,0.28,23725.0,118.44,23725.0,0.0,0.0,0.0,0.0,0.0,HSX,LOSER,2026-06-01,2026-06-01 13:23
LBM,VNINDEX,29.0,2026-06-01 13:22,-0.85,-2.85,0.1,14840.0,22.91,14840.0,0.0,0.0,0.0,0.0,0.0,HSX,LOSER,2026-06-01,2026-06-01 13:23
