symbol,price_change_percent_1d,price_change_1d,accumulated_value,group,exchange,date,updated_at
LPB,2.94,1.5,55.03,GAINER,HSX,2026-07-06,2026-07-06 13:51
VHM,2.37,3.6,829.31,GAINER,HSX,2026-07-06,2026-07-06 13:51
NAB,1.91,0.25,45.86,GAINER,HSX,2026-07-06,2026-07-06 13:51
FPT,1.38,1.0,561.29,GAINER,HSX,2026-07-06,2026-07-06 13:51
GMD,1.05,0.8,117.97,GAINER,HSX,2026-07-06,2026-07-06 13:51
VPI,0.81,0.5,34.67,GAINER,HSX,2026-07-06,2026-07-06 13:51
HDB,0.74,0.2,228.1,GAINER,HSX,2026-07-06,2026-07-06 13:51
TCB,0.6,0.2,151.65,GAINER,HSX,2026-07-06,2026-07-06 13:51
CMG,0.55,0.15,3.33,GAINER,HSX,2026-07-06,2026-07-06 13:51
NKG,0.42,0.05,15.27,GAINER,HSX,2026-07-06,2026-07-06 13:51
VRE,0.36,0.1,95.24,GAINER,HSX,2026-07-06,2026-07-06 13:51
POW,0.34,0.05,162.15,GAINER,HSX,2026-07-06,2026-07-06 13:51
CTG,0.29,0.1,238.11,GAINER,HSX,2026-07-06,2026-07-06 13:51
HPG,0.22,0.05,243.82,GAINER,HSX,2026-07-06,2026-07-06 13:51
VNM,0.18,0.1,86.3,GAINER,HSX,2026-07-06,2026-07-06 13:51
VHC,0.17,0.1,6.47,GAINER,HSX,2026-07-06,2026-07-06 13:51
VCB,0.16,0.1,100.98,GAINER,HSX,2026-07-06,2026-07-06 13:51
HDG,-7.0,-1.4,119.28,LOSER,HSX,2026-07-06,2026-07-06 13:51
PNJ,-6.98,-4.1,28.22,LOSER,HSX,2026-07-06,2026-07-06 13:51
GEE,-5.67,-5.0,151.82,LOSER,HSX,2026-07-06,2026-07-06 13:51
PC1,-5.23,-1.15,109.1,LOSER,HSX,2026-07-06,2026-07-06 13:51
SZC,-3.6,-0.8,12.62,LOSER,HSX,2026-07-06,2026-07-06 13:51
CII,-3.49,-0.6,195.64,LOSER,HSX,2026-07-06,2026-07-06 13:51
BVH,-3.21,-2.0,26.19,LOSER,HSX,2026-07-06,2026-07-06 13:51
TCH,-3.15,-0.45,53.44,LOSER,HSX,2026-07-06,2026-07-06 13:51
PVT,-3.03,-0.6,45.69,LOSER,HSX,2026-07-06,2026-07-06 13:51
CTS,-2.84,-0.8,51.77,LOSER,HSX,2026-07-06,2026-07-06 13:51
PLX,-2.6,-0.95,64.57,LOSER,HSX,2026-07-06,2026-07-06 13:51
NVL,-2.44,-0.3,128.4,LOSER,HSX,2026-07-06,2026-07-06 13:51
BSR,-2.43,-0.6,127.06,LOSER,HSX,2026-07-06,2026-07-06 13:51
PDR,-2.41,-0.35,80.53,LOSER,HSX,2026-07-06,2026-07-06 13:51
FTS,-2.14,-0.6,33.05,LOSER,HSX,2026-07-06,2026-07-06 13:51
GEX,-2.13,-0.65,312.86,LOSER,HSX,2026-07-06,2026-07-06 13:51
KDH,-2.11,-0.45,46.61,LOSER,HSX,2026-07-06,2026-07-06 13:51
REE,-1.95,-0.95,25.56,LOSER,HSX,2026-07-06,2026-07-06 13:51
BSI,-1.92,-0.7,21.13,LOSER,HSX,2026-07-06,2026-07-06 13:51
EVF,-1.89,-0.25,19.24,LOSER,HSX,2026-07-06,2026-07-06 13:51
