symbol,group,exchange,time,date,snap_time,price,price_type,intra_buy_vol,intra_sell_vol,intra_delta,intra_buy_ratio,bid_price_1,bid_vol_1,ask_price_1,ask_vol_1,bid_price_2,bid_vol_2,ask_price_2,ask_vol_2,bid_price_3,bid_vol_3,ask_price_3,ask_vol_3,ema20,ema50,adx,supertrend,ema200,ema_cross_pct,price_vs_ema20_pct,price_vs_ema200_pct,rsi,macd,macd_sig,macd_hist,stoch_k,stoch_d,bb_lower,bb_mid,bb_upper,atr,bb_position,atr_pct,obv,cmf,mfi,vol_ma_ratio,vol_today,vol_avg_20d,ff_buy_val_5d,ff_sell_val_5d,ff_net_val_5d,ff_net_val_20d,insider_count,insider_latest,insider_name,r_period,r_pe,r_pb,r_roe,r_roa,r_eps,r_bvps,r_beta,r_div_yield,r_gross_margin,r_net_margin,r_quick_ratio,r_interest_cov,r_ev_ebitda,is_revenue,is_gross_profit,is_net_profit,is_operating_profit,is_eps,is_rev_growth,is_profit_growth,is_rev_growth_yoy,is_profit_growth_yoy,bs_total_assets,bs_equity,bs_total_liab,bs_short_debt,bs_long_debt,bs_debt_to_equity,cf_operating,cf_investing,cf_financing,cf_free,cf_quality_ratio,finance_score,finance_score_fund,finance_score_cf,finance_score_growth,industry,icb_code,ff_room,ff_trend,ff_consistency,ff_acceleration,ff_data_invalid,market_valuation,trend_score,momentum_score,volume_score,volatility_score,order_flow_score,depth_score,ff_score,fundamental_score,cf_score,growth_score,context_score,news_score,confluence_bonus,tech_score,fund_score,news_industry,news_mention,news_macro,total_score,decision,confidence,signals,updated_at,news_evidence,pattern_flags
SCR,GAINER,HSX,2026-07-10 13:13,2026-07-10,13:13,5.26,realtime,79900.0,588100.0,-508200.0,0.12,5260.0,3295100.0,,0.0,5250.0,50900.0,0.0,0.0,5240.0,9600.0,0.0,0.0,5.1,5.34,30.67,4.69,6.88,-4.49,3.14,-23.55,56.07,-0.08,0.02,-0.11,52.66,31.52,4.88,5.1,5.32,0.13,0.87,2.47,42445600.0,0.04,45.8,3.32,3689500.0,1110130.0,,,,,5,Mua,Trương Thị Ngọc Hiền,2026-Q1,42.42,0.6,0.81,0.6,177.27,12442.0,1.12,0.0,32.62,12.66,1.04,1.46,61.11,409023.29,29452.42,29441.65,44439.38,,2.72,18.51,2.72,18.51,12911651.5,5357321.9,7554329.6,1323229.38,2862618.61,1.41,-1074905.15,920321.61,339505.78,-154583.55,-14.08,-3,-3,-10,10,Bất động sản,8600,,,,,True,FAIR,3,-2,1,-5,0,3,0,-3,0,10,0,-0.03,0,-3,7,0.04,0.0,-0.07,6.97,NEUTRAL,LOW,EMA20<EMA50 -15 | Price -24%<EMA200 (oversold) +8 | ADX=30.67 strong +5 | ST=4.69 bullish +5 | RSI=56.07 neutral +5 | MACD hist=-0.11<0 -10 | Stoch K>31.52 cross up +3 | OBV divergence -4 | Vol=3.32x avg breakout +5 | BB pos=0.87 near upper (overbought) -5 | AskClear (no wall) +1 | BidWall x3 mức ≥5K cp +2 | PE=42.42 expensive -5 | PB=0.6 below book +5 | ROE=0.81% weak -3 | D/E=1.41 moderate 0 | CFO=-1074905153 (sector-skip) 0 | RevG-YoY=272.2% strong +5 | ProfitG-YoY=1851.2% strong +5 | Market FAIR+sideways 0 | News NEUTRAL -0.03 [Tin nhanh chứng khoán ngày 2 6 VN Index ... · petrotimes ·  2026],2026-07-10 13:14,industry·petrotimes·Tin nhanh chứng khoán ngày 2 6 VN Index ·02 Jun 2026·-1.60 | industry·cafebiz·Vinhomes dừng mở rộng quỹ đất tại Việt N·17 Jun 2026·+1.00 | macro·znews·Sự ra đời của ngân hàng trung ương đầu t·16 Jun 2026·-2.00,UNCLEAR
TNI,GAINER,HSX,2026-07-10 13:13,2026-07-10,13:13,5.82,realtime,1990200.0,206200.0,1784000.0,0.91,5810.0,4100.0,5820.0,1100.0,5800.0,21800.0,5830.0,68100.0,5780.0,15900.0,0.0,0.0,5.04,4.92,20.21,4.96,4.83,2.44,15.48,20.5,84.45,0.16,0.09,0.07,95.44,90.38,4.4,4.94,5.48,0.21,1.0,3.61,13674400.0,0.91,95.59,15.2,2649400.0,174265.0,,,,,5,Bán,Nguyễn Đình Chính,2026-Q1,5.24,0.44,9.67,6.03,957.89,11351.0,0.5,0.0,-7.44,14.85,1.59,15.06,7.65,322026.73,13422.48,4928.02,5287.77,,0.54,1.93,0.54,1.93,934401.92,595945.59,338456.32,191052.54,8414.72,0.57,,,,,,25,15,0,10,Tài nguyên Cơ bản,1700,,,,,True,FAIR,12,-5,7,-5,6,0,0,16,0,10,0,-0.07,5,15,26,0.0,0.0,-0.07,45.93,BUY,MEDIUM,"EMA20>EMA50 +15 | Price 20%>EMA200 (overextended) -8 | ST=4.96 bullish +5 | RSI=84.45 overbought -10 | MACD hist=0.07>0 +10 | Stoch K=95.44 overbought -5 | CMF=0.91 inflow (overbought) -8 | MFI=95.59 strong inflow +6 | OBV confirms trend +4 | Vol=15.2x avg breakout +5 | BB pos=1.0 near upper (overbought) -5 | OF institutional buying +3 | OF vol+231% buy 0.83 | AskWall 5.83 (68K cp, +0.2%) -2 | BidWall x2 mức ≥5K cp +2 | PE=5.24 very cheap +10 | PB=0.44 below book +5 | D/E=0.568 healthy +1 | RevG-YoY=54.1% strong +5 | ProfitG-YoY=192.6% strong +5 | Market FAIR+sideways 0 | News NEUTRAL -0.07 [Sự ra đời của ngân hàng trung ương đầu t... · znews ·  2026] | CONFLUENCE bull (5/11 groups) +5",2026-07-10 13:14,macro·znews·Sự ra đời của ngân hàng trung ương đầu t·16 Jun 2026·-2.00,
HSL,GAINER,HSX,2026-07-10 13:13,2026-07-10,13:13,9.89,realtime,295900.0,267500.0,28400.0,0.53,9890.0,1500.0,9900.0,9200.0,9860.0,900.0,9910.0,700.0,9850.0,300.0,9940.0,7700.0,7.84,6.82,41.1,8.15,7.75,14.96,26.15,27.61,81.39,0.81,0.15,0.66,96.41,94.13,6.27,7.82,9.37,0.46,1.0,4.65,6573700.0,0.31,74.04,2.15,1910100.0,888970.0,,,,,5,Mua,Nguyễn Thị Huyền Trang,2026-Q1,691.36,0.6,-0.21,0.08,10.11,11592.0,0.43,0.0,0.0,0.0,14.77,0.0,0.0,27276.27,761.94,-1772.91,-604.81,,2.15,-1.62,2.15,-1.62,468128.03,,21063.52,,,,,,,,,-1,-3,0,2,Thực phẩm và đồ uống,3500,,,,,True,FAIR,17,-5,7,-5,0,-4,0,-3,0,2,0,-0.07,0,14,-1,0.0,0.0,-0.07,8.93,NEUTRAL,LOW,EMA20>EMA50 +15 | Price 28%>EMA200 (overextended) -8 | ADX=41.1 strong +5 | ST=8.15 bullish +5 | RSI=81.39 overbought -10 | MACD hist=0.66>0 +10 | Stoch K=96.41 overbought -5 | CMF=0.31 inflow (overbought) -8 | MFI=74.04 strong inflow +6 | OBV confirms trend +4 | Vol=2.15x avg breakout +5 | BB pos=1.0 near upper (overbought) -5 | AskWall x2 mức ≥5K cp -3 | NoBidWall -1 | PE=691.36 expensive -5 | PB=0.6 below book +5 | ROE=-0.21% weak -3 | RevG-YoY=214.8% strong +5 | ProfitG-YoY=-161.5% declining -3 | Market FAIR+sideways 0 | News NEUTRAL -0.07 [Sự ra đời của ngân hàng trung ương đầu t... · znews ·  2026],2026-07-10 13:14,macro·znews·Sự ra đời của ngân hàng trung ương đầu t·16 Jun 2026·-2.00,UNCLEAR
PTL,GAINER,HSX,2026-07-10 13:13,2026-07-10,13:13,2.02,realtime,59100.0,15700.0,43400.0,0.79,1990.0,2400.0,2020.0,26700.0,1980.0,400.0,2030.0,7100.0,1970.0,7400.0,2040.0,4900.0,2.27,2.46,63.18,2.42,2.85,-7.72,-11.01,-29.12,27.91,-0.16,-0.04,-0.12,7.26,6.3,1.88,2.34,2.8,0.13,0.15,6.44,2753900.0,-0.21,3.55,0.63,75800.0,119585.0,,,,,5,Mua,Nguyễn Tấn Thụ,2026-Q1,19.52,0.56,2.13,1.08,143.48,5041.0,0.8,0.0,-6.1,6.37,0.82,3.63,0.0,121509.59,26904.31,-656.74,5168.16,-7.0,0.17,-1.48,0.17,-1.48,1401668.35,504137.35,897531.01,150944.03,,1.78,194702.89,-196835.75,23807.89,-2132.86,16.23,15,5,10,0,Bất động sản,8600,,,,,True,FAIR,-7,13,-2,5,-3,-2,0,5,0,0,0,-0.03,0,6,5,0.04,0.0,-0.07,8.97,NEUTRAL,LOW,"EMA20<EMA50 -15 | Price -29%<EMA200 (oversold) +8 | ADX=63.18 strong +5 | ST=2.42 bearish -5 | RSI=27.91 oversold +15 | MACD hist=-0.12<0 -10 | Stoch K=7.26 oversold +5 | Stoch K>6.3 cross up +3 | CMF=-0.21 outflow (oversold) +8 | MFI=3.55 weak -6 | OBV divergence -4 | BB pos=0.15 near lower (oversold) +5 | OF pattern=WEAK -3 | AskWall x2 mức ≥5K cp -3 | BidWall 1.97 (7K cp, -2.5%) +1 | PE=19.52 fair +3 | PB=0.56 below book +5 | ROE=2.13% weak -3 | D/E=1.78 moderate 0 | CFO=194702895 (sector-skip) 0 | RevG-YoY=17.3% good +3 | ProfitG-YoY=-147.8% declining -3 | Market FAIR+sideways 0 | News NEUTRAL -0.03 [Tin nhanh chứng khoán ngày 2 6 VN Index ... · petrotimes ·  2026]",2026-07-10 13:14,industry·petrotimes·Tin nhanh chứng khoán ngày 2 6 VN Index ·02 Jun 2026·-1.60 | industry·cafebiz·Vinhomes dừng mở rộng quỹ đất tại Việt N·17 Jun 2026·+1.00 | macro·znews·Sự ra đời của ngân hàng trung ương đầu t·16 Jun 2026·-2.00,UNCLEAR
KHG,GAINER,HSX,2026-07-10 13:13,2026-07-10,13:13,5.06,realtime,337900.0,370600.0,-32700.0,0.48,5050.0,9200.0,5060.0,11300.0,5040.0,11600.0,5070.0,15300.0,5030.0,19400.0,5080.0,20200.0,4.96,5.11,29.11,5.08,6.1,-2.94,2.02,-17.05,59.25,-0.04,0.02,-0.05,50.63,43.28,4.85,4.95,5.06,0.09,0.99,1.78,154987400.0,0.18,36.67,2.43,7879300.0,3244505.0,,,,,5,Bán,Trần Thị Thu Hương,2026-Q1,46.63,0.59,0.23,0.97,147.76,11762.0,0.77,0.0,10.81,5.22,2.07,1.42,0.0,146393.52,46520.04,20489.75,30115.16,46.0,0.46,0.33,0.46,0.33,,,,,,,-442447.3,139318.17,290846.72,-303129.13,-6.44,-3,-3,-10,10,Bất động sản,8600,,,,,True,FAIR,-7,-2,-13,-5,3,-1,0,-3,0,10,0,-0.03,0,-24,7,0.04,0.0,-0.07,-18.03,SELL,MEDIUM,EMA20<EMA50 -15 | Price -17%<EMA200 (oversold) +8 | ADX=29.11 strong +5 | ST=5.08 bearish -5 | RSI=59.25 neutral +5 | MACD hist=-0.05<0 -10 | Stoch K>43.28 cross up +3 | CMF=0.18 inflow (overbought) -8 | MFI=36.67 weak -6 | OBV divergence -4 | Vol=2.43x avg breakout +5 | BB pos=0.99 near upper (overbought) -5 | OF vol+159% buy 0.64 | AskWall x3 mức ≥5K cp -3 | BidWall x3 mức ≥5K cp +2 | PE=46.63 expensive -5 | PB=0.59 below book +5 | ROE=0.23% weak -3 | CFO=-442447301 (sector-skip) 0 | RevG-YoY=45.8% strong +5 | ProfitG-YoY=33.4% strong +5 | Market FAIR+sideways 0 | News NEUTRAL -0.03 [Tin nhanh chứng khoán ngày 2 6 VN Index ... · petrotimes ·  2026],2026-07-10 13:14,industry·petrotimes·Tin nhanh chứng khoán ngày 2 6 VN Index ·02 Jun 2026·-1.60 | industry·cafebiz·Vinhomes dừng mở rộng quỹ đất tại Việt N·17 Jun 2026·+1.00 | macro·znews·Sự ra đời của ngân hàng trung ương đầu t·16 Jun 2026·-2.00,
ASM,GAINER,HSX,2026-07-10 13:13,2026-07-10,13:13,6.15,realtime,149100.0,126800.0,22300.0,0.54,6150.0,7700.0,6170.0,6700.0,6140.0,32800.0,6180.0,56000.0,6130.0,44600.0,6190.0,44100.0,5.95,5.92,15.7,5.79,6.45,0.51,3.36,-4.65,66.19,0.04,0.01,0.02,67.93,56.36,5.77,5.93,6.09,0.1,1.0,1.63,10391041.0,-0.13,72.18,3.46,988400.0,285370.0,,,,,5,Mua,,2026-Q1,54.84,0.32,0.02,0.19,117.42,20156.0,1.25,0.0,13.62,1.21,1.0,1.3,26.67,3354392.86,402734.99,15457.16,64081.0,,0.24,-0.03,0.24,-0.03,,,,,,,-328600.29,-860471.22,-169328.86,-1189071.51,-8.71,-9,-3,-10,4,Thực phẩm và đồ uống,3500,,,,,True,FAIR,20,13,20,-5,8,-1,0,-3,-10,4,0,-0.07,5,56,-9,0.0,0.0,-0.07,50.93,BUY,MEDIUM,EMA20>EMA50 +15 | ADX=15.7 sideways 0 | ST=5.79 bullish +5 | MACD hist=0.02>0 +10 | Stoch K>56.36 cross up +3 | CMF=-0.13 outflow (oversold) +8 | MFI=72.18 strong inflow +6 | OBV confirms trend +4 | Vol=3.46x avg breakout +5 | BB pos=1.0 near upper (overbought) -5 | OF pattern=SPIKE_BUY +5 | OF vol+232% buy 0.69 | AskWall x3 mức ≥5K cp -3 | BidWall x3 mức ≥5K cp +2 | PE=54.84 expensive -5 | PB=0.32 below book +5 | ROE=0.02% weak -3 | CFO<0 cash burn -10 | CF quality=-8.71 low -5 | RevG-YoY=23.5% strong +5 | ProfitG-YoY=-2.6% slight decline -1 | Market FAIR+sideways 0 | News NEUTRAL -0.07 [Sự ra đời của ngân hàng trung ương đầu t... · znews ·  2026] | CONFLUENCE bull (5/11 groups) +5,2026-07-10 13:14,macro·znews·Sự ra đời của ngân hàng trung ương đầu t·16 Jun 2026·-2.00,
PHC,GAINER,HSX,2026-07-10 13:13,2026-07-10,13:13,4.73,realtime,100.0,0.0,100.0,1.0,4510.0,500.0,4600.0,300.0,4500.0,200.0,4610.0,200.0,4490.0,200.0,4620.0,200.0,4.64,4.72,31.68,5.03,4.98,-1.69,1.94,-5.02,54.59,-0.05,0.01,-0.06,38.3,30.88,4.5,4.63,4.76,0.18,0.89,3.81,385800.0,0.02,53.56,0.01,100.0,18140.0,,,,,5,Bán,Đỗ Thị Hạnh Dung,,,,,,,,,,,,,,,327158.66,30367.84,1709.56,3177.15,34.0,0.46,0.01,0.46,0.01,,,,,,,,,,,,6,0,0,6,Xây dựng và Vật liệu,2300,,,,,True,FAIR,-10,-2,-7,-5,-3,0,0,0,0,6,0,-0.04,0,-27,6,0.03,0.0,-0.07,-21.04,SELL,MEDIUM,EMA20<EMA50 -15 | Price -5%<EMA200 (below) +5 | ADX=31.68 strong +5 | ST=5.03 bearish -5 | RSI=54.59 neutral +5 | MACD hist=-0.06<0 -10 | Stoch K>30.88 cross up +3 | OBV divergence -4 | Vol=0.01x avg weak -3 | BB pos=0.89 near upper (overbought) -5 | OF pattern=WEAK -3 | AskClear (no wall) +1 | NoBidWall -1 | RevG-YoY=46.5% strong +5 | ProfitG-YoY=0.9% positive +1 | Market FAIR+sideways 0 | News NEUTRAL -0.04 [Nghị quyết 09 xác lập các trụ cột để TPH... · vietstock ·  2026],2026-07-10 13:14,industry·vietstock·Nghị quyết 09 xác lập các trụ cột để TPH·26 May 2026·+1.56 | industry·nld·Phát huy vai trò của HĐND trong xây dựng·28 May 2026·+1.35 | macro·znews·Sự ra đời của ngân hàng trung ương đầu t·16 Jun 2026·-2.00,
CSM,GAINER,HSX,2026-07-10 13:13,2026-07-10,13:13,14.4,realtime,599500.0,58500.0,541000.0,0.91,14400.0,1300.0,14450.0,40000.0,14350.0,23000.0,14500.0,124100.0,14300.0,16000.0,14550.0,110400.0,13.17,12.66,25.48,13.13,13.09,4.03,9.34,10.01,81.45,0.52,0.14,0.38,96.4,96.78,11.29,12.92,14.55,0.36,0.95,2.5,6086000.0,0.6,90.21,3.46,1065000.0,308100.0,,,,,5,Bán,Vũ Thị Thanh Thủy,2026-Q1,25.36,1.01,-0.96,1.52,526.32,13221.0,0.84,2.0,13.26,-1.41,0.7,0.35,0.0,1105999.27,151353.17,21676.61,23008.1,,0.08,0.12,0.08,0.12,,,,,,,537287.4,-336247.72,-97589.55,201039.68,12.63,9,-5,10,4,Ô tô và phụ tùng,3300,,,,,True,FAIR,20,-8,7,-5,8,-1,0,-5,10,4,0,-0.07,5,22,9,0.0,0.0,-0.07,34.93,NEUTRAL,MEDIUM,EMA20>EMA50 +15 | Price 10%>EMA200 (extended) -5 | ADX=25.48 strong +5 | ST=13.13 bullish +5 | RSI=81.45 overbought -10 | MACD hist=0.38>0 +10 | Stoch K=96.4 overbought -5 | Stoch K<96.78 cross down -3 | CMF=0.6 inflow (overbought) -8 | MFI=90.21 strong inflow +6 | OBV confirms trend +4 | Vol=3.46x avg breakout +5 | BB pos=0.95 near upper (overbought) -5 | OF pattern=SPIKE_BUY +5 | OF vol+122% buy 0.91 | AskWall x3 mức ≥5K cp -3 | BidWall x2 mức ≥5K cp +2 | PE=25.36 expensive -5 | PB=1.01 fair +3 | ROE=-0.96% weak -3 | CFO>0 real cash +5 | CF quality=12.63 high +5 | RevG-YoY=8.3% positive +1 | ProfitG-YoY=11.6% good +3 | Market FAIR+sideways 0 | News NEUTRAL -0.07 [Tăng trưởng xanh thúc đẩy nhu cầu điện t... · petrotimes ·  2026] | CONFLUENCE bull (5/11 groups) +5,2026-07-10 13:14,"industry·petrotimes·Tăng trưởng xanh thúc đẩy nhu cầu điện t·25 May 2026·+1.00 | industry·cafebiz·Không phải Cool, đây mới là cách bật điề·08 Jun 2026·-1.00 | macro·znews·Sự ra đời của ngân hàng trung ương đầu t·16 Jun 2026·-2.00",
PJT,GAINER,HSX,2026-07-10 13:13,2026-07-10,13:13,9.9,realtime,207600.0,0.0,207600.0,1.0,9300.0,1300.0,10200.0,30000.0,0.0,0.0,10400.0,1000.0,0.0,0.0,10450.0,1000.0,9.39,9.16,14.68,9.31,,2.51,9.69,,65.91,0.26,0.1,0.17,87.3,84.68,8.34,9.26,10.18,0.3,1.0,2.91,379233.0,0.49,95.94,37.27,207600.0,5570.0,,,,,5,Mua,Lê Hải Đoàn,2026-Q1,10.67,0.72,0.59,4.77,890.5,13214.0,0.0,6.0,6.88,1.1,0.91,14.33,0.0,183572.56,25689.77,8352.22,14515.96,,0.1,1.3,0.1,1.3,,,,,,,89586.56,-147838.11,34789.09,-58251.54,4.04,27,9,10,8,Hàng & Dịch vụ Công nghiệp,2700,,,,,True,FAIR,17,5,7,-5,8,-2,0,9,10,8,0,-0.07,5,32,27,0.0,0.0,-0.07,61.93,BUY,HIGH,"EMA20>EMA50 +15 | Price>EMA20 extended (no EMA200) -3 | ADX=14.68 sideways 0 | ST=9.31 bullish +5 | MACD hist=0.17>0 +10 | Stoch K=87.3 overbought -5 | CMF=0.49 inflow (overbought) -8 | MFI=95.94 strong inflow +6 | OBV confirms trend +4 | Vol=37.27x avg breakout +5 | BB pos=1.0 near upper (overbought) -5 | OF pattern=SPIKE_BUY +5 | OF vol+926% buy 1.00 | AskWall 10.20 (30K cp, +3.0%) -1 | NoBidWall -1 | PE=10.67 cheap +7 | PB=0.72 below book +5 | ROE=0.59% weak -3 | CFO>0 real cash +5 | CF quality=4.04 high +5 | RevG-YoY=10.2% good +3 | ProfitG-YoY=129.5% strong +5 | Market FAIR+sideways 0 | News NEUTRAL -0.07 [Sự ra đời của ngân hàng trung ương đầu t... · znews ·  2026] | CONFLUENCE bull (6/11 groups) +5",2026-07-10 13:14,macro·znews·Sự ra đời của ngân hàng trung ương đầu t·16 Jun 2026·-2.00,CONSENSUS_BULL
EVG,GAINER,HSX,2026-07-10 13:13,2026-07-10,13:13,5.21,realtime,66900.0,132400.0,-65500.0,0.34,5200.0,300.0,5210.0,1300.0,5190.0,1600.0,5220.0,1600.0,5180.0,8900.0,5230.0,4400.0,5.39,5.66,27.93,5.49,6.97,-4.77,-3.34,-25.25,34.17,-0.16,-0.02,-0.14,25.88,21.63,5.02,5.43,5.84,0.16,0.23,3.07,30516191.0,-0.27,13.34,1.07,398300.0,370557.0,,,,,5,Mua,Lê Đình Tuấn,2026-Q1,22.63,0.61,1.45,1.36,362.81,13517.0,1.41,0.0,20.34,11.09,0.93,5.11,30.59,195702.92,11776.59,10530.56,15369.22,49.0,0.02,-0.03,0.02,-0.03,6384626.36,2909564.43,3475061.93,263555.0,833807.12,1.19,174233.76,-86555.53,-34235.12,87678.23,2.24,15,5,10,0,Xây dựng và Vật liệu,2300,,,,,True,FAIR,-7,-7,-2,0,-3,2,0,5,10,0,0,-0.04,0,-19,15,0.03,0.0,-0.07,-2.04,NEUTRAL,MEDIUM,"EMA20<EMA50 -15 | Price -25%<EMA200 (oversold) +8 | ADX=27.93 strong +5 | ST=5.49 bearish -5 | MACD hist=-0.14<0 -10 | Stoch K>21.63 cross up +3 | CMF=-0.27 outflow (oversold) +8 | MFI=13.34 weak -6 | OBV divergence -4 | OF pattern=WEAK -3 | AskClear (no wall) +1 | BidWall 5.18 (9K cp, -0.6%) +1 | PE=22.63 fair +3 | PB=0.61 below book +5 | ROE=1.45% weak -3 | D/E=1.194 moderate 0 | CFO>0 real cash +5 | CF quality=2.24 high +5 | RevG-YoY=2.1% positive +1 | ProfitG-YoY=-3.1% slight decline -1 | Market FAIR+sideways 0 | News NEUTRAL -0.04 [Nghị quyết 09 xác lập các trụ cột để TPH... · vietstock ·  2026]",2026-07-10 13:14,industry·vietstock·Nghị quyết 09 xác lập các trụ cột để TPH·26 May 2026·+1.56 | industry·nld·Phát huy vai trò của HĐND trong xây dựng·28 May 2026·+1.35 | macro·znews·Sự ra đời của ngân hàng trung ương đầu t·16 Jun 2026·-2.00,
