symbol,group,exchange,time,date,snap_time,price,price_type,price_date,ema20,ema50,adx,supertrend,ema200,ema_cross_pct,price_vs_ema20_pct,price_vs_ema200_pct,rsi,macd,macd_sig,macd_hist,stoch_k,stoch_d,bb_lower,bb_mid,bb_upper,atr,bb_position,atr_pct,obv,cmf,mfi,vol_ma_ratio,vol_today,vol_avg_20d,high_52w,low_52w,roc_10,return_20d,ff_room,ff_room_max_pct,ff_room_raw,ff_total_room_raw,ff_buy_val_5d,ff_sell_val_5d,ff_net_val_5d,ff_net_val_20d,insider_buy_count,insider_sell_count,insider_count,insider_latest,insider_name,r_period,r_pe,r_pb,r_roe,r_roa,r_eps,r_bvps,r_beta,r_div_yield,r_gross_margin,r_net_margin,r_quick_ratio,r_interest_cov,r_ev_ebitda,is_revenue,is_gross_profit,is_net_profit,is_operating_profit,is_eps,is_rev_growth,is_profit_growth,is_rev_growth_yoy,is_profit_growth_yoy,eps_consistency,bs_total_assets,bs_equity,bs_total_liab,bs_short_debt,bs_long_debt,bs_debt_to_equity,cf_operating,cf_investing,cf_financing,cf_free,cf_quality_ratio,finance_score,finance_score_fund,finance_score_cf,finance_score_growth,industry,icb_code,vnindex_return_20d,vnindex_return_5d,ff_trend,ff_consistency,ff_acceleration,ff_data_invalid,pt_net_val_5d,pt_net_val_20d,pt_trend,market_valuation,trend_score,momentum_score,volume_score,volatility_score,order_flow_score,depth_score,ff_score,fundamental_score,cf_score,growth_score,context_score,news_score,confluence_bonus,tech_score,fund_score,news_industry,news_mention,news_macro,total_score,decision,confidence,signals,base_score_v2,scoring_version,ext_rs_score,ext_52w_score,ext_roc_score,ext_nr7_score,ext_ba_score,ext_room_score,ext_fv_score,ext_div_score,ext_eps_score,ext_prop_score,ext_insider_score,ext_breadth_score,ext_signals,smart_money_score,norm_smart_money,norm_trend,norm_momentum,norm_volume,norm_volatility,norm_order_flow,norm_depth,norm_ff,norm_fundamental,norm_cf,norm_growth,norm_context,w_trend,w_momentum,w_volume,w_order_flow,w_ff,w_fundamental,w_cf,w_growth,updated_at,news_evidence,pattern_flags
APG,GAINER,HSX,2026-06-13 00:29,2026-06-13,00:29,5.17,last_close,2026-06-12,4.67,5.26,49.64,4.65,8.56,-11.22,10.71,-39.6,64.42,-0.1,0.09,-0.19,88.54,59.4,4.19,4.62,5.04,0.16,1.0,3.09,-29897000.0,-0.18,40.56,1.71,381700.0,222730.0,13.35,4.11,15.4,7.48,0.0,100.0,160297634.0,223621942.0,,,,,12,8,20,Mua,nan,2026-Q1,427.89,0.98,-0.66,0.11,24.42,10653.42,0.81,0.0,89.67,-21.66,,,0.0,,31903.49,,,,,,,,,5686582.71,,3004222.91,,,,-2691273.73,61686.8,3018552.25,-2629586.94,,-13.0,-3.0,-10.0,0.0,Dịch vụ tài chính,8700,-6.76,-2.57,,,,True,,,,FAIR,3,-15,15,-5,0,0,0,-3,0,0,-2,-0.05,0,0,-9,0.02,0.0,-0.07,-0.51,NEUTRAL,LOW,EMA20<EMA50 -15 | Price -40%<EMA200 (oversold) +8 | ADX=49.64 strong +5 | ST=4.65 bullish +5 | MACD hist=-0.19<0 -10 | Stoch K=88.54 overbought -5 | CMF=-0.18 outflow (oversold) +8 | OBV confirms trend +4 | Vol=1.71x avg elevated +3 | BB pos=1.0 near upper (overbought) -5 | PE=427.89 expensive -5 | PB=0.98 below book +5 | ROE=-0.66% weak -3 | CFO=-2691273732 (sector-skip) 0 | Market FAIR+downtrend -2 | News NEUTRAL -0.05 [Chứng khoán 2-6: Nên làm gì khi thị trườ... · tuoitre ·  2026],-0.51,v2,4,-5,3,0,0,3,-6,0,0,0,5,0,RS=1.15(▲) +4 | 52W_hi=-61.3% -5 | ROC10=+15.4% +3 | NR=N compress=1.81 +0 | FFroom=71.7% +3 | FairVal=-1529%(PE×EPS=317) -6 | Insider=B12/S8(90d) net=+4 +5,5,0.25,0.04,-0.46,0.75,-0.62,0.0,0.0,0.11,-0.31,0.0,0.0,-0.22,0.2,0.13,0.1,0.08,0.11,0.08,0.05,0.06,2026-06-13 00:30,industry·tuoitre·Chứng khoán 2-6: Nên làm gì khi thị trườ·02 Jun 2026 | industry·petrotimes·Tin nhanh chứng khoán ngày 2 6 VN Index ·02 Jun 2026 | macro·petrotimes·Nhận định thị trường chứng khoán ngày 27·27 May 2026,UNCLEAR
AGG,GAINER,HSX,2026-06-13 00:29,2026-06-13,00:29,12.6,last_close,2026-06-12,12.02,12.37,38.5,11.21,14.9,-2.83,4.83,-15.44,70.27,-0.08,0.06,-0.15,66.67,56.94,11.62,11.95,12.28,0.29,1.0,2.3,-1287700.0,0.73,63.97,7.38,1356200.0,183870.0,22.1,11.3,5.0,4.13,0.0,50.0,80295400.0,81264040.0,,,,,13,7,20,Mua,Nguyễn Hương Giang,2026-Q1,6.11,0.66,5.24,6.13,2333.11,21627.0,0.81,0.0,54.25,65.66,0.79,4.5,25.88,193906.33,165377.21,80598.88,109365.52,496.0,0.01,6.85,0.01,6.85,1.0,5476945.01,3514997.62,1961947.39,810679.21,192741.7,0.56,-243650.23,600884.03,-433732.91,357233.8,-0.64,11.0,15.0,-10.0,6.0,Bất động sản,8600,-6.76,-2.57,,,,True,,,,FAIR,3,-17,7,-5,0,0,0,16,0,6,-2,-0.04,0,-10,28,0.03,0.0,-0.07,5.33,NEUTRAL,MEDIUM,EMA20<EMA50 -15 | Price -15%<EMA200 (oversold) +8 | ADX=38.5 strong +5 | ST=11.21 bullish +5 | RSI=70.27 overbought -10 | MACD hist=-0.15<0 -10 | Stoch K>56.94 cross up +3 | CMF=0.73 inflow (overbought) -8 | MFI=63.97 strong inflow +6 | OBV confirms trend +4 | Vol=7.38x avg breakout +5 | BB pos=1.0 near upper (overbought) -5 | PE=6.11 very cheap +10 | PB=0.66 below book +5 | D/E=0.558 healthy +1 | CFO=-243650229 (sector-skip) 0 | RevG-YoY=1.1% positive +1 | ProfitG-YoY=684.9% strong +5 | Market FAIR+downtrend -2 | News NEUTRAL -0.04 [Tin nhanh chứng khoán ngày 2 6 VN Index ... · petrotimes ·  2026],5.33,v2,4,-3,1,0,0,3,6,0,0,0,5,0,RS=1.12(▲) +4 | 52W_hi=-43.0% -3 | ROC10=+5.0% +1 | NR=N compress=3.80 +0 | FFroom=49.4% +3 | FairVal=+58%(PE×EPS=30330) +6 | EPScons=1qtrs +0 | Insider=B13/S7(90d) net=+6 +5,5,0.25,0.09,-0.62,0.35,-0.62,0.0,0.0,0.11,0.76,0.0,0.4,-0.22,0.2,0.13,0.1,0.08,0.11,0.08,0.05,0.06,2026-06-13 00:30,industry·petrotimes·Tin nhanh chứng khoán ngày 2 6 VN Index ·02 Jun 2026 | industry·petrotimes·Tin nhanh chứng khoán ngày 26 5 Sắc xanh·26 May 2026 | macro·petrotimes·Nhận định thị trường chứng khoán ngày 27·27 May 2026,
HRC,GAINER,HSX,2026-06-13 00:29,2026-06-13,00:29,42.9,last_close,2026-06-12,44.88,46.24,18.18,50.58,,-2.94,-4.41,,45.75,-1.28,-0.44,-0.84,16.24,23.9,37.4,46.75,56.1,3.38,0.29,7.88,128600.0,-0.09,36.21,0.35,4000.0,11410.0,101.2,24.15,-4.13,-22.14,-0.0,0.0,0.0,0.0,,,,,11,9,20,Mua,Nguyễn Lượng Khoa Toàn,2026-Q1,24.76,1.42,1.49,4.37,1195.28,20833.0,0.53,0.0,20.98,11.62,0.36,10.91,0.0,59460.55,5263.88,3322.07,1597.12,110.0,0.59,1.33,0.59,1.33,1.0,857818.56,,228512.78,114168.05,45251.14,,,,,,,13.0,3.0,0.0,10.0,Hóa chất,1300,-6.76,-2.57,,,,True,,,,FAIR,-20,0,-13,0,-3,0,0,0,-10,10,-2,-0.05,0,-43,-6,0.02,0.0,-0.07,-26.13,STRONG SELL,MEDIUM,EMA20<EMA50 -15 | ADX=18.18 sideways 0 | ST=50.58 bearish -5 | RSI=45.75 neutral +5 | MACD hist=-0.84<0 -10 | Stoch K=16.24 oversold +5 | MFI=36.21 weak -6 | OBV divergence -4 | Vol=0.35x avg weak -3 | OF pattern=WEAK -3 | PE=24.76 fair +3 | PB=1.42 fair +3 | ROE=1.49% weak -3 | D/E=nan very high -3 | CFO<0 cash burn -10 | RevG-YoY=59.2% strong +5 | ProfitG-YoY=132.7% strong +5 | Market FAIR+downtrend -2 | News NEUTRAL -0.05 [PVCFC và Samsung C T tăng cường hợp tác ... · petrotimes ·  2026],-26.13,v2,-4,-5,-1,3,0,-7,-6,0,0,0,3,0,RS=0.84(▼) -4 | 52W_hi=-57.6% -5 | ROC10=-4.1% -1 | NR=Y compress=0.10 +3 | FFroom=-0.6% -7 | FairVal=-176%(PE×EPS=15539) -6 | EPScons=1qtrs +0 | Insider=B11/S9(90d) net=+2 +3,3,0.15,-0.64,-0.04,-0.65,0.38,-0.3,0.0,-0.26,-0.21,-1.0,0.67,-0.22,0.2,0.13,0.1,0.08,0.11,0.08,0.05,0.06,2026-06-13 00:30,"industry·petrotimes·PVCFC và Samsung C T tăng cường hợp tác ·02 Jun 2026 | industry·vnexpress·Điểm tin 6h: Tổng Bí thư, Chủ tịch nước ·29 May 2026 | macro·petrotimes·Nhận định thị trường chứng khoán ngày 27·27 May 2026",
TPB,GAINER,HSX,2026-06-13 00:29,2026-06-13,00:29,16.35,last_close,2026-06-12,15.92,16.04,14.88,16.37,16.55,-0.75,2.7,-1.21,58.47,0.03,0.06,-0.03,56.69,54.55,15.28,15.8,16.32,0.34,1.0,2.08,699143277.0,-0.03,73.85,4.82,44500500.0,9235070.0,21.71,12.52,2.83,4.14,0.0,30.0,173180195.0,832214061.0,,,,,12,8,20,Bán,Nguyễn Thị Thanh Tâm,2026-Q1,6.16,1.03,5.91,1.66,2775.99,16589.03,1.38,0.06,,,,,,,,,,,,,,,,,,459852809.0,,,,26177747.0,2048094.0,1372844.0,28225841.0,,18.0,13.0,5.0,0.0,Ngân hàng,8300,-6.76,-2.57,,,,True,-30397795000.0,-33637762000.0,-0.64,FAIR,-20,-2,7,-5,8,0,0,13,0,0,-2,-0.03,0,-10,21,0.04,0.0,-0.07,0.39,NEUTRAL,MEDIUM,EMA20<EMA50 -15 | ADX=14.88 sideways 0 | ST=16.37 bearish -5 | RSI=58.47 neutral +5 | MACD hist=-0.03<0 -10 | Stoch K>54.55 cross up +3 | MFI=73.85 strong inflow +6 | OBV divergence -4 | Vol=4.82x avg breakout +5 | BB pos=1.0 near upper (overbought) -5 | OF pattern=SPIKE_BUY +5 | OF vol+518% buy 0.71 | PE=6.16 very cheap +10 | PB=1.03 fair +3 | CFO=26177747000 (sector-skip) 0 | Market FAIR+downtrend -2 | News NEUTRAL -0.03 [Bên trong ngân hàng Việt tiên phong mô h... · nld ·  2026],0.39,v2,4,-3,1,0,0,-3,6,2,0,-10,5,0,RS=1.12(▲) +4 | 52W_hi=-24.7% -3 | ROC10=+2.8% +1 | NR=N compress=2.29 +0 | FFroom=6.2% -3 | FairVal=+55%(PE×EPS=36088) +6 | DivYield=6.0% +2 | PropTrade=-30.4tỷ(5d) -10 | Insider=B12/S8(90d) net=+4 +5,-5,-0.25,-0.42,-0.04,0.35,-0.62,0.8,0.0,-0.11,0.72,0.0,0.0,-0.22,0.2,0.13,0.1,0.08,0.11,0.08,0.05,0.06,2026-06-13 00:30,mention·nld·Bên trong ngân hàng Việt tiên phong mô h·01 Jun 2026 | mention·nld·TPBank: Mở rộng biên độ chạm tới khách h·03 Jun 2026 | industry·petrotimes·Tin nhanh chứng khoán ngày 2 6 VN Index ·02 Jun 2026,
GAS,GAINER,HSX,2026-06-13 00:29,2026-06-13,00:29,85.1,last_close,2026-06-12,83.47,83.91,10.96,80.96,77.12,-0.52,1.95,10.35,53.62,0.37,-0.15,0.53,39.86,34.83,78.95,84.7,90.45,3.77,0.53,4.43,40490022.0,-0.17,56.15,0.93,1976800.0,2116180.0,131.5,56.0,-2.63,-4.81,0.0,49.0,1132208634.0,1182345380.0,,,,,0,1,1,Bán,Trịnh Văn Bộ,2026-Q1,14.98,2.58,2.03,12.75,4832.77,28038.0,0.61,0.03,8.68,3.18,3.19,33.13,39.19,30080421.25,4953952.87,4747605.08,5978744.15,1985.0,0.17,0.72,0.17,0.72,1.0,93531511.87,67653389.12,25878122.75,1439827.47,1531862.87,0.38,13040237.87,-6468619.5,-5264541.76,6571618.37,1.14,22.0,4.0,10.0,8.0,"Điện, nước & xăng dầu khí đốt",7500,-6.76,-2.57,,,,True,3869470000.0,9898980000.0,-0.0,FAIR,-15,18,4,0,0,0,0,5,10,8,-2,0.08,0,3,18,0.0,0.15,-0.07,11.73,NEUTRAL,MEDIUM,EMA20<EMA50 -15 | Price 10%>EMA200 (extended) -5 | ADX=10.96 sideways 0 | ST=80.96 bullish +5 | RSI=53.62 neutral +5 | MACD hist=0.53>0 +10 | Stoch K>34.83 cross up +3 | CMF=-0.17 outflow (oversold) +8 | OBV divergence -4 | PE=14.98 cheap +7 | PB=2.58 neutral 0 | ROE=2.03% weak -3 | D/E=0.383 healthy +1 | CFO>0 real cash +5 | CF quality=1.14 high +5 | RevG-YoY=17.2% good +3 | ProfitG-YoY=72.2% strong +5 | Market FAIR+downtrend -2 | News NEUTRAL +0.08 [VIDEO PV GAS bứt phá tăng trưởng tăng tố... · petrotimes ·  2026],11.73,v2,0,-3,-1,0,0,3,-6,1,0,5,-3,0,RS=1.02(─) +0 | 52W_hi=-35.3% -3 | ROC10=-2.6% -1 | NR=N compress=2.27 +0 | FFroom=46.9% +3 | FairVal=-35%(PE×EPS=62826) -6 | DivYield=3.0% +1 | EPScons=1qtrs +0 | PropTrade=+3.9tỷ(5d) +5 | Insider=B0/S1(90d) net=-1 -3,2,0.1,-0.4,0.65,0.2,0.0,0.0,0.0,0.11,0.0,1.0,0.53,-0.22,0.2,0.13,0.1,0.08,0.11,0.08,0.05,0.06,2026-06-13 00:30,mention·petrotimes·VIDEO PV GAS bứt phá tăng trưởng tăng tố·22 May 2026 | mention·vnexpress·Nhật Bản tung 3 tỷ USD hỗ trợ người dân ·26 May 2026 | macro·petrotimes·Nhận định thị trường chứng khoán ngày 27·27 May 2026,
MSB,GAINER,HSX,2026-06-13 00:29,2026-06-13,00:29,15.0,last_close,2026-06-12,14.39,13.65,41.55,13.81,12.79,5.42,4.24,17.28,63.97,0.36,-0.06,0.42,50.72,41.28,13.92,14.57,15.22,0.43,0.83,2.87,629054227.0,0.46,79.35,1.56,25116600.0,16117795.0,15.62,9.92,-1.96,7.91,0.0,30.0,709990887.0,936000000.0,,,,,2,3,5,Mua,Phạm Lê Việt Anh,2026-Q1,6.02,0.91,4.46,1.59,2060.55,13604.51,1.13,0.0,,,,,,,,,,,,,,,,,,365227883.0,,,,11693308.0,-170104.0,,11523204.0,,17.0,12.0,5.0,0.0,Ngân hàng,8300,-6.76,-2.57,,,,True,-3706210000.0,-32762392000.0,-0.06,FAIR,17,13,5,-5,3,0,0,12,0,0,-2,-0.03,0,40,18,0.04,0.0,-0.07,20.84,NEUTRAL,HIGH,EMA20>EMA50 +15 | Price 17%>EMA200 (overextended) -8 | ADX=41.55 strong +5 | ST=13.81 bullish +5 | MACD hist=0.42>0 +10 | Stoch K>41.28 cross up +3 | CMF=0.46 inflow (overbought) -8 | MFI=79.35 strong inflow +6 | OBV confirms trend +4 | Vol=1.56x avg elevated +3 | BB pos=0.83 near upper (overbought) -5 | OF vol+291% buy 0.65 | PE=6.02 very cheap +10 | PB=0.91 below book +5 | ROE=4.46% weak -3 | CFO=11693308000 (sector-skip) 0 | Market FAIR+downtrend -2 | News NEUTRAL -0.03 [Vì sao cổ phiếu MSB bất ngờ tiến sát vùn... · tuoitre ·  2026],20.84,v2,4,3,0,0,0,0,6,0,0,-5,-3,0,RS=1.16(▲) +4 | 52W_hi=-4.0% +3 | ROC10=-2.0% +0 | NR=N compress=1.29 +0 | FFroom=22.8% +0 | FairVal=+44%(PE×EPS=26787) +6 | PropTrade=-3.7tỷ(5d) -5 | Insider=B2/S3(90d) net=-1 -3,-8,-0.4,0.53,0.5,0.25,-0.62,0.3,0.0,0.0,0.62,0.0,0.0,-0.22,0.2,0.13,0.1,0.08,0.11,0.08,0.05,0.06,2026-06-13 00:30,mention·tuoitre·Vì sao cổ phiếu MSB bất ngờ tiến sát vùn·28 May 2026 | mention·nld·MSB thiết lập tiêu chuẩn mới cho ngân hà·02 Jun 2026 | industry·petrotimes·Tin nhanh chứng khoán ngày 2 6 VN Index ·02 Jun 2026,CONSENSUS_BULL
LDG,GAINER,HSX,2026-06-13 00:29,2026-06-13,00:29,3.35,last_close,2026-06-12,3.03,3.21,40.35,2.99,3.94,-5.61,10.56,-14.97,64.13,-0.05,0.07,-0.11,94.44,76.84,2.63,2.98,3.33,0.12,1.0,3.58,201210200.0,0.17,66.12,2.99,2723300.0,909710.0,7.22,2.16,18.37,4.36,0.0,50.0,127707125.0,128486292.0,,,,,5,15,20,Mua,TÔ THỊ KIỀU TRINH,2026-Q1,6.33,0.82,9.37,2.61,682.21,5273.0,1.28,0.0,66.8,60.04,0.85,45.64,0.0,3479.2,2203.93,-66168.54,-65401.77,-259.0,-0.95,-6.39,-0.95,-6.39,-1.0,8084769.61,1347940.03,6736829.58,777522.21,,5.0,1908012.15,8.58,-296627.58,1908020.73,20.58,19.0,15.0,10.0,-6.0,Bất động sản,8600,-6.76,-2.57,,,,True,,,,FAIR,0,-15,-1,-5,0,0,0,12,0,-6,-2,-0.04,0,-19,11,0.03,0.0,-0.07,-8.7,NEUTRAL,MEDIUM,EMA20<EMA50 -15 | Price -15%<EMA200 (below) +5 | ADX=40.35 strong +5 | ST=2.99 bullish +5 | MACD hist=-0.11<0 -10 | Stoch K=94.44 overbought -5 | CMF=0.17 inflow (overbought) -8 | MFI=66.12 strong inflow +6 | OBV divergence -4 | Vol=2.99x avg breakout +5 | BB pos=1.0 near upper (overbought) -5 | PE=6.33 very cheap +10 | PB=0.82 below book +5 | D/E=4.998 very high -3 | CFO=1908012152 (sector-skip) 0 | RevG-YoY=-95.5% declining -3 | ProfitG-YoY=-638.8% declining -3 | Market FAIR+downtrend -2 | News NEUTRAL -0.04 [Tin nhanh chứng khoán ngày 2 6 VN Index ... · petrotimes ·  2026],-8.7,v2,4,-5,3,0,0,3,6,0,-1,0,-5,0,RS=1.12(▲) +4 | 52W_hi=-53.6% -5 | ROC10=+18.4% +3 | NR=N compress=1.43 +0 | FFroom=49.7% +3 | FairVal=+62%(PE×EPS=8869) +6 | EPScons=-1qtrs -1 | Insider=B5/S15(90d) net=-10 -5,-5,-0.25,-0.02,-0.46,-0.05,-0.62,0.0,0.0,0.11,0.62,0.0,-0.47,-0.22,0.2,0.13,0.1,0.08,0.11,0.08,0.05,0.06,2026-06-13 00:30,industry·petrotimes·Tin nhanh chứng khoán ngày 2 6 VN Index ·02 Jun 2026 | industry·petrotimes·Tin nhanh chứng khoán ngày 26 5 Sắc xanh·26 May 2026 | macro·petrotimes·Nhận định thị trường chứng khoán ngày 27·27 May 2026,
DBD,GAINER,HSX,2026-06-13 00:29,2026-06-13,00:29,50.5,last_close,2026-06-12,50.3,50.49,20.12,48.53,51.75,-0.38,0.4,-2.42,51.17,-0.07,-0.06,-0.01,38.79,35.96,49.16,50.39,51.62,0.97,0.54,1.92,492325.0,0.48,72.81,1.53,53300.0,34945.0,57.0,46.6,-2.51,0.8,0.0,100.0,79703911.0,94529347.0,,,,,18,2,20,Mua,Nguyễn Phạm Hoàng Long,2026-Q1,15.75,2.68,3.47,12.09,3099.1,18192.0,0.36,0.04,43.91,11.67,1.89,71.25,0.0,474537.02,242391.39,90336.5,107590.29,,0.08,0.12,0.08,0.12,1.0,2584097.31,1721205.99,862891.32,43214.78,132000.0,0.5,615187.35,-661623.52,-64972.27,-46436.17,2.11,14.0,0.0,10.0,4.0,Y tế,4500,-6.76,-2.57,,,,True,,,,FAIR,-10,-2,-3,0,8,0,0,1,10,4,-2,-0.07,0,-8,13,0.0,0.0,-0.07,7.36,NEUTRAL,MEDIUM,EMA20<EMA50 -15 | ST=48.53 bullish +5 | RSI=51.17 neutral +5 | MACD hist=-0.01<0 -10 | Stoch K>35.96 cross up +3 | CMF=0.48 inflow (overbought) -8 | MFI=72.81 strong inflow +6 | OBV divergence -4 | Vol=1.53x avg elevated +3 | OF pattern=SPIKE_BUY +5 | OF vol+548% buy 0.72 | PE=15.75 fair +3 | PB=2.68 neutral 0 | ROE=3.47% weak -3 | D/E=0.501 healthy +1 | CFO>0 real cash +5 | CF quality=2.11 high +5 | RevG-YoY=7.6% positive +1 | ProfitG-YoY=11.5% good +3 | Market FAIR+downtrend -2 | News NEUTRAL -0.07 [Nhận định thị trường chứng khoán ngày 27... · petrotimes ·  2026],7.36,v2,0,0,-1,0,0,3,-3,1,0,0,5,0,RS=1.08(─) +0 | 52W_hi=-11.4% +0 | ROC10=-2.5% -1 | NR=N compress=1.11 +0 | FFroom=84.3% +3 | FairVal=-25%(PE×EPS=40288) -3 | DivYield=4.0% +1 | EPScons=1qtrs +0 | Insider=B18/S2(90d) net=+16 +5,5,0.25,-0.22,-0.12,-0.15,0.0,0.8,0.0,0.11,-0.03,1.0,0.27,-0.22,0.2,0.13,0.1,0.08,0.11,0.08,0.05,0.06,2026-06-13 00:30,macro·petrotimes·Nhận định thị trường chứng khoán ngày 27·27 May 2026,
AAA,GAINER,HSX,2026-06-13 00:29,2026-06-13,00:29,7.26,last_close,2026-06-12,7.05,7.12,13.26,6.85,7.59,-0.98,2.98,-4.35,62.36,-0.01,0.02,-0.04,77.42,59.11,6.86,7.03,7.2,0.14,1.0,1.93,44142900.0,-0.26,56.77,3.84,2401200.0,625230.0,8.97,6.65,3.42,1.97,0.0,100.0,387744024.0,393742730.0,,,,,1,0,1,Mua,nan,2026-Q1,8.38,0.51,1.3,2.93,940.19,15440.0,0.95,0.04,14.93,2.83,1.09,3.89,36.98,2309974.27,354139.51,121348.93,204931.96,,-0.4,1.68,-0.4,1.68,1.0,12891604.73,6079230.36,6812374.37,1901174.75,1129878.56,1.12,977801.73,-1505116.83,-286982.87,-527315.1,2.62,24.0,12.0,10.0,2.0,Hóa chất,1300,-6.76,-2.57,,,,True,-865000.0,-2666000.0,0.0,FAIR,-10,-7,9,-5,3,0,0,12,10,2,-2,-0.05,0,-9,31,0.02,0.0,-0.07,9.38,NEUTRAL,MEDIUM,EMA20<EMA50 -15 | ADX=13.26 sideways 0 | ST=6.85 bullish +5 | MACD hist=-0.04<0 -10 | Stoch K>59.11 cross up +3 | CMF=-0.26 outflow (oversold) +8 | OBV divergence -4 | Vol=3.84x avg breakout +5 | BB pos=1.0 near upper (overbought) -5 | OF vol+206% buy 0.63 | PE=8.38 very cheap +10 | PB=0.51 below book +5 | ROE=1.3% weak -3 | D/E=1.121 moderate 0 | CFO>0 real cash +5 | CF quality=2.62 high +5 | RevG-YoY=-40.1% declining -3 | ProfitG-YoY=168.2% strong +5 | Market FAIR+downtrend -2 | News NEUTRAL -0.05 [PVCFC và Samsung C T tăng cường hợp tác ... · petrotimes ·  2026],9.38,v2,0,0,1,0,0,3,6,1,0,0,3,0,RS=1.09(─) +0 | 52W_hi=-19.1% +0 | ROC10=+3.4% +1 | NR=N compress=2.54 +0 | FFroom=98.5% +3 | FairVal=+41%(PE×EPS=12222) +6 | DivYield=4.0% +1 | EPScons=1qtrs +0 | PropTrade=-0.0tỷ(5d) +0 | Insider=B1/S0(90d) net=+1 +3,3,0.15,-0.22,-0.23,0.45,-0.62,0.3,0.0,0.11,0.66,1.0,0.13,-0.22,0.2,0.13,0.1,0.08,0.11,0.08,0.05,0.06,2026-06-13 00:30,"industry·petrotimes·PVCFC và Samsung C T tăng cường hợp tác ·02 Jun 2026 | industry·vnexpress·Điểm tin 6h: Tổng Bí thư, Chủ tịch nước ·29 May 2026 | macro·petrotimes·Nhận định thị trường chứng khoán ngày 27·27 May 2026",
NHT,GAINER,HSX,2026-06-13 00:29,2026-06-13,00:29,11.4,last_close,2026-06-12,11.47,11.27,23.45,12.22,9.81,1.77,-0.61,16.21,48.52,-0.24,-0.09,-0.15,35.7,24.04,9.84,11.79,13.74,0.47,0.4,4.12,728208.0,0.51,31.56,0.32,16000.0,50245.0,14.53,7.96,-2.15,-7.17,0.0,50.0,11273879.0,12014084.0,,,,,8,12,20,Mua,Đoàn Hương Sơn,2026-Q1,5.67,0.66,9.08,8.69,1930.69,16563.0,0.11,0.0,26.48,15.72,2.36,39.29,2.32,68646.96,11941.08,-764.77,2814.03,-32.0,0.44,-1.2,0.44,-1.2,-1.0,538784.64,,141210.44,58375.58,2400.0,,,,,,,17.0,15.0,0.0,2.0,Hàng cá nhân & Gia dụng,3700,-6.76,-2.57,,,,True,,,,FAIR,2,-2,-13,0,3,0,0,12,-10,2,-2,-0.07,0,-14,9,0.0,0.0,-0.07,-7.1,NEUTRAL,LOW,EMA20>EMA50 +15 | Price 16%>EMA200 (overextended) -8 | ST=12.22 bearish -5 | RSI=48.52 neutral +5 | MACD hist=-0.15<0 -10 | Stoch K>24.04 cross up +3 | CMF=0.51 inflow (overbought) -8 | MFI=31.56 weak -6 | OBV confirms trend +4 | Vol=0.32x avg weak -3 | OF vol+262% buy 0.62 | PE=5.67 very cheap +10 | PB=0.66 below book +5 | D/E=nan very high -3 | CFO<0 cash burn -10 | RevG-YoY=43.7% strong +5 | ProfitG-YoY=-119.9% declining -3 | Market FAIR+downtrend -2 | News NEUTRAL -0.07 [Nhận định thị trường chứng khoán ngày 27... · petrotimes ·  2026],-7.1,v2,0,-3,-1,0,0,3,6,0,-1,0,-5,0,RS=1.00(─) +0 | 52W_hi=-21.5% -3 | ROC10=-2.1% -1 | NR=N compress=0.71 +0 | FFroom=46.9% +3 | FairVal=+55%(PE×EPS=25099) +6 | EPScons=-1qtrs -1 | Insider=B8/S12(90d) net=-4 -5,-5,-0.25,-0.02,-0.12,-0.65,0.0,0.3,0.0,0.11,0.62,-1.0,0.07,-0.22,0.2,0.13,0.1,0.08,0.11,0.08,0.05,0.06,2026-06-13 00:30,macro·petrotimes·Nhận định thị trường chứng khoán ngày 27·27 May 2026,UNCLEAR
