symbol,exchange,snap_time,price,price_type,intra_buy_vol,intra_sell_vol,intra_delta,intra_buy_ratio,depth_buy,depth_sell,depth_buy_ratio,group,updated_at
TNT,HSX,11:27,11.7,realtime,99900.0,230500.0,-130600.0,0.3,99900.0,230500.0,0.3,GAINER,2026-05-22 11:28
HRC,HSX,11:27,50.7,realtime,33300.0,3100.0,30200.0,0.91,33300.0,3100.0,0.91,GAINER,2026-05-22 11:28
TDM,HSX,11:27,59.0,realtime,200.0,15000.0,-14800.0,0.01,200.0,15000.0,0.01,GAINER,2026-05-22 11:28
ABS,HSX,11:27,3.04,realtime,152000.0,69500.0,82500.0,0.69,230700.0,179600.0,0.56,GAINER,2026-05-22 11:28
DHA,HSX,11:27,51.0,realtime,60300.0,15000.0,45300.0,0.8,60300.0,15000.0,0.8,GAINER,2026-05-22 11:28
LGL,HSX,11:27,5.88,realtime,500.0,1100.0,-600.0,0.31,500.0,1100.0,0.31,GAINER,2026-05-22 11:28
CDC,HSX,11:27,22.65,realtime,58100.0,26500.0,31600.0,0.69,58100.0,26500.0,0.69,GAINER,2026-05-22 11:28
CRE,HSX,11:28,7.6,realtime,64300.0,33200.0,31100.0,0.66,58800.0,33200.0,0.64,GAINER,2026-05-22 11:28
BFC,HSX,11:28,59.0,realtime,95100.0,35000.0,60100.0,0.73,95100.0,35000.0,0.73,GAINER,2026-05-22 11:28
DRH,HSX,11:28,2.27,realtime,164800.0,238600.0,-73800.0,0.41,164800.0,238600.0,0.41,GAINER,2026-05-22 11:28
VNE,HSX,11:28,2.39,realtime,316000.0,0.0,316000.0,1.0,316000.0,0.0,1.0,LOSER,2026-05-22 11:28
NHT,HSX,11:28,12.65,realtime,32100.0,0.0,32100.0,1.0,32100.0,0.0,1.0,LOSER,2026-05-22 11:28
TV2,HSX,11:28,30.1,realtime,26800.0,92600.0,-65800.0,0.22,293000.0,460100.0,0.39,LOSER,2026-05-22 11:28
GEX,HSX,11:28,33.2,realtime,82500.0,188500.0,-106000.0,0.3,3600200.0,10357700.0,0.26,LOSER,2026-05-22 11:28
PLP,HSX,11:28,4.01,realtime,100.0,18600.0,-18500.0,0.01,100.0,18600.0,0.01,LOSER,2026-05-22 11:28
VHM,HSX,11:28,152.0,realtime,56700.0,38400.0,18300.0,0.6,967000.0,2645800.0,0.27,LOSER,2026-05-22 11:28
GEE,HSX,11:28,108.0,realtime,30800.0,36800.0,-6000.0,0.46,207700.0,731600.0,0.22,LOSER,2026-05-22 11:28
SVD,HSX,11:28,4.16,realtime,0.0,1500.0,-1500.0,0.0,0.0,1500.0,0.0,LOSER,2026-05-22 11:28
DQC,HSX,11:28,11.05,realtime,800.0,400.0,400.0,0.67,800.0,400.0,0.67,LOSER,2026-05-22 11:28
QCG,HSX,11:28,12.8,realtime,7400.0,96000.0,-88600.0,0.07,7400.0,96000.0,0.07,LOSER,2026-05-22 11:28
