symbol,exchange,decision,confidence,entry_style,price,entry_low,entry,entry_high,stop_loss,risk_pct,tp1,tp2,rr_tp1,rr_headroom,size_hint,nearest_support,nearest_resist,levels_used,flags,skip
LPB,HSX,NEUTRAL,MEDIUM,PULLBACK,52.4,51.7,51.7,52.4,50.1,3.09,54.1,55.7,1.5,0.56,NO_TRADE,51.7,52.6,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","TP2_FORCED_GAP,TIGHT_HEADROOM,REF_ONLY",not_buy
VHM,HSX,NEUTRAL,MEDIUM,PULLBACK,155.3,152.4,152.4,155.3,145.0,4.86,163.5,,1.5,0.59,NO_TRADE,152.4,156.8,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","SINGLE_TP_ONLY,TIGHT_HEADROOM,REF_ONLY",not_buy
NAB,HSX,BUY,MEDIUM,PULLBACK,13.3,13.1,13.1,13.3,12.75,2.67,13.6,14.0,1.43,0.86,HALF,13.1,13.4,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","TP2_FORCED_GAP,TIGHT_HEADROOM",
FPT,HSX,NEUTRAL,MEDIUM,PULLBACK,73.3,72.1,72.2,73.3,69.7,3.46,75.9,78.2,1.48,0.68,NO_TRADE,72.17,73.9,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","TP2_FORCED_GAP,TIGHT_HEADROOM,REF_ONLY",not_buy
HDB,HSX,NEUTRAL,MEDIUM,PULLBACK,27.3,26.85,26.9,27.3,26.65,0.93,27.25,28.05,1.4,2.0,NO_TRADE,26.9,27.4,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","TP2_FORCED_GAP,REF_ONLY",not_buy
GMD,HSX,NEUTRAL,MEDIUM,PULLBACK,77.1,77.0,77.0,77.1,72.6,5.71,80.0,82.4,0.68,0.23,NO_TRADE,77.0,78.0,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","TP1_PULLED_BACK,TP_NEAR_CEILING,TIGHT_HEADROOM,REF_ONLY",not_buy
NKG,HSX,SELL,MEDIUM,PULLBACK,12.1,11.8,11.85,12.1,11.45,3.38,12.4,12.8,1.38,0.87,NO_TRADE,11.85,12.2,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","TP2_FORCED_GAP,TIGHT_HEADROOM,REF_ONLY",not_buy
POW,HSX,NEUTRAL,HIGH,PULLBACK,14.95,14.9,14.9,14.95,14.35,3.69,15.7,,1.45,0.18,NO_TRADE,14.9,15.0,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","CONSENSUS_BULL,SINGLE_TP_ONLY,TIGHT_HEADROOM,REF_ONLY",not_buy
TCB,HSX,NEUTRAL,MEDIUM,PULLBACK,33.8,33.7,33.7,33.8,32.95,2.23,34.8,35.85,1.47,1.2,NO_TRADE,33.7,34.6,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","TP2_FORCED_GAP,TIGHT_HEADROOM,REF_ONLY",not_buy
CTG,HSX,SELL,MEDIUM,PULLBACK,34.3,34.0,34.05,34.3,33.7,1.03,34.55,35.6,1.43,1.23,NO_TRADE,34.05,34.48,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","VALUE_OPPORTUNITY,TP2_FORCED_GAP,TIGHT_HEADROOM,REF_ONLY",not_buy
CMG,HSX,SELL,MEDIUM,PULLBACK,27.35,27.2,27.2,27.35,26.8,1.47,27.75,28.6,1.38,0.75,NO_TRADE,27.2,27.5,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","TP2_FORCED_GAP,TIGHT_HEADROOM,REF_ONLY",not_buy
VRE,HSX,SELL,MEDIUM,PULLBACK,28.25,28.05,28.05,28.25,26.5,5.53,29.3,30.2,0.81,0.52,NO_TRADE,28.05,28.85,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","VALUE_OPPORTUNITY,TP1_PULLED_BACK,TP_NEAR_CEILING,TIGHT_HEADROOM,REF_ONLY",not_buy
HPG,HSX,SELL,MEDIUM,PULLBACK,23.25,22.9,22.95,23.25,22.4,2.4,23.75,24.45,1.45,1.0,NO_TRADE,22.95,23.5,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","TP2_FORCED_GAP,TIGHT_HEADROOM,REF_ONLY",not_buy
HDG,HSX,SELL,MEDIUM,PULLBACK,18.6,18.3,18.3,18.6,17.4,4.92,19.65,,1.5,1.28,NO_TRADE,,19.45,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","SINGLE_TP_ONLY,TIGHT_HEADROOM,REF_ONLY",not_buy
PNJ,HSX,STRONG SELL,MEDIUM,PULLBACK,54.6,53.6,53.6,54.6,50.6,5.6,58.1,,1.5,3.73,NO_TRADE,,64.8,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","SINGLE_TP_ONLY,STOP_BELOW_FLOOR,REF_ONLY",not_buy
GEE,HSX,SELL,MEDIUM,PULLBACK,82.7,80.6,80.6,82.7,74.3,7.82,85.8,88.4,0.83,0.9,NO_TRADE,,86.3,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","TP1_PULLED_BACK,TP_NEAR_CEILING,TIGHT_HEADROOM,STOP_BELOW_FLOOR,SKIP_WIDE_STOP,REF_ONLY",wide_stop
PC1,HSX,NEUTRAL,MEDIUM,PULLBACK,20.7,20.5,20.5,20.7,19.7,3.9,21.7,,1.5,1.06,NO_TRADE,20.5,21.35,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","SINGLE_TP_ONLY,TIGHT_HEADROOM,REF_ONLY",not_buy
SZC,HSX,SELL,MEDIUM,PULLBACK,21.4,20.8,20.8,21.4,19.9,4.33,22.15,22.8,1.5,1.44,NO_TRADE,20.8,22.1,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","TP2_FORCED_GAP,TIGHT_HEADROOM,STOP_BELOW_FLOOR,REF_ONLY",not_buy
TCH,HSX,SELL,MEDIUM,PULLBACK,13.75,13.5,13.55,13.75,12.9,4.8,14.5,,1.46,0.77,NO_TRADE,,14.05,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","SINGLE_TP_ONLY,TIGHT_HEADROOM,REF_ONLY",not_buy
CII,HSX,STRONG SELL,HIGH,PULLBACK,16.6,16.55,16.55,16.6,15.6,5.74,17.2,17.75,0.68,0.47,NO_TRADE,16.55,17.0,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","CONSENSUS_BEAR,TP1_PULLED_BACK,TP_NEAR_CEILING,TIGHT_HEADROOM,REF_ONLY",not_buy
BVH,HSX,SELL,MEDIUM,PULLBACK,60.4,60.2,60.3,60.4,59.4,1.49,61.6,63.4,1.44,1.78,NO_TRADE,60.3,61.9,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","TP2_FORCED_GAP,REF_ONLY",not_buy
PVT,HSX,NEUTRAL,MEDIUM,PULLBACK,19.2,19.1,19.15,19.2,18.15,5.22,19.9,20.5,0.75,0.5,NO_TRADE,19.15,19.65,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","TP1_PULLED_BACK,TP_NEAR_CEILING,TIGHT_HEADROOM,REF_ONLY",not_buy
PDR,HSX,NEUTRAL,MEDIUM,PULLBACK,14.1,14.05,14.05,14.1,13.45,4.27,14.95,,1.5,0.58,NO_TRADE,14.05,14.4,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","SINGLE_TP_ONLY,TIGHT_HEADROOM,REF_ONLY",not_buy
CTS,HSX,NEUTRAL,MEDIUM,PULLBACK,27.45,27.35,27.4,27.45,26.85,2.01,28.2,29.05,1.45,0.73,NO_TRADE,27.4,27.8,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","TP2_FORCED_GAP,TIGHT_HEADROOM,REF_ONLY",not_buy
PLX,HSX,SELL,MEDIUM,PULLBACK,35.65,35.6,35.6,35.65,33.75,5.2,37.0,38.1,0.76,0.22,NO_TRADE,35.6,36.0,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","VALUE_OPPORTUNITY,TP1_PULLED_BACK,TP_NEAR_CEILING,TIGHT_HEADROOM,REF_ONLY",not_buy
NVL,HSX,SELL,MEDIUM,PULLBACK,11.95,11.9,11.95,11.95,11.65,2.51,12.35,12.75,1.33,0.5,NO_TRADE,11.94,12.1,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","TP2_FORCED_GAP,TIGHT_HEADROOM,REF_ONLY",not_buy
BSR,HSX,NEUTRAL,MEDIUM,PULLBACK,24.1,24.05,24.05,24.1,22.45,6.65,25.0,25.75,0.59,0.28,NO_TRADE,24.05,24.5,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","VALUE_OPPORTUNITY,TP1_PULLED_BACK,TP_NEAR_CEILING,TIGHT_HEADROOM,REF_ONLY",not_buy
BSI,HSX,NEUTRAL,MEDIUM,PULLBACK,35.65,35.0,35.0,35.65,32.8,6.29,37.0,38.1,0.91,0.55,NO_TRADE,35.0,36.2,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","TP1_PULLED_BACK,TP_NEAR_CEILING,TIGHT_HEADROOM,STOP_BELOW_FLOOR,REF_ONLY",not_buy
FTS,HSX,NEUTRAL,MEDIUM,PULLBACK,27.4,27.3,27.3,27.4,26.1,4.4,29.1,,1.5,0.5,NO_TRADE,27.3,27.9,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","SINGLE_TP_ONLY,TIGHT_HEADROOM,REF_ONLY",not_buy
KDH,HSX,NEUTRAL,MEDIUM,PULLBACK,20.85,20.75,20.75,20.85,19.95,3.86,21.95,,1.5,0.62,NO_TRADE,20.75,21.25,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","SINGLE_TP_ONLY,TIGHT_HEADROOM,REF_ONLY",not_buy
REE,HSX,NEUTRAL,MEDIUM,PULLBACK,47.8,47.4,47.4,47.8,46.2,2.53,49.15,50.6,1.46,1.17,NO_TRADE,,48.8,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","TP2_FORCED_GAP,TIGHT_HEADROOM,REF_ONLY",not_buy
GEX,HSX,NEUTRAL,LOW,PULLBACK,29.95,29.85,29.9,29.95,29.3,2.01,30.75,31.7,1.42,0.33,NO_TRADE,29.9,30.1,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","UNCLEAR,TP2_FORCED_GAP,TIGHT_HEADROOM,REF_ONLY",not_buy
HCM,HSX,BUY,MEDIUM,PULLBACK,28.0,27.75,27.75,28.0,26.7,3.78,29.3,,1.48,0.81,HALF,27.76,28.6,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","SINGLE_TP_ONLY,TIGHT_HEADROOM",
