symbol,group,exchange,time,date,snap_time,price,price_type,intra_buy_vol,intra_sell_vol,intra_delta,intra_buy_ratio,bid_price_1,bid_vol_1,ask_price_1,ask_vol_1,bid_price_2,bid_vol_2,ask_price_2,ask_vol_2,bid_price_3,bid_vol_3,ask_price_3,ask_vol_3,_ta_window,_last_close,ema20,ema50,adx,supertrend,ema200,ema_cross_pct,price_vs_ema20_pct,price_vs_ema200_pct,rsi,macd,macd_sig,macd_hist,stoch_k,stoch_d,bb_lower,bb_mid,bb_upper,atr,bb_position,atr_pct,obv,cmf,mfi,linreg_20,linreg_slope_pct,aroon_osc,donchian_upper_prev,donchian_lower_prev,ad_line,ad_slope_20d_pct,efi_13,willr_14,vol_ma_ratio,vol_today,vol_avg_20d,high_52w,low_52w,roc_10,return_20d,_cached_date,_ta_from_cache,_ta_stale_days,_should_cache,ff_room_raw,ff_total_room_raw,ff_buy_val_5d,ff_sell_val_5d,ff_net_val_5d,ff_net_val_20d,ff_trend,ff_consistency,ff_acceleration,pt_net_val_5d,pt_net_val_20d,pt_trend,insider_count,insider_buy_count,insider_sell_count,insider_name,r_period,r_pe,r_pb,r_roe,r_roa,r_eps,r_bvps,r_beta,r_div_yield,r_gross_margin,r_net_margin,r_quick_ratio,r_interest_cov,r_ev_ebitda,is_revenue,is_gross_profit,is_net_profit,is_operating_profit,is_eps,is_rev_growth,is_profit_growth,is_rev_growth_yoy,is_profit_growth_yoy,eps_consistency,bs_total_assets,bs_equity,bs_total_liab,bs_short_debt,bs_long_debt,bs_debt_to_equity,cf_operating,cf_investing,cf_financing,cf_free,cf_quality_ratio,finance_score,finance_score_fund,finance_score_cf,finance_score_growth,industry,icb_code,organ_short_name,organ_name,vnindex_return_20d,vnindex_return_5d,ff_intra_net,ff_intra_gtgd,ff_intra_ratio,ff_intra_frac,ff_intra_pts,ff_intra_strong_buy,ff_intra_strong_sell,ff_intra_flag_pts,insider_latest,_price_fallback,updated_at
ACB,GAINER,HSX,2026-09-25 09:26,2026-09-25,09:26,21.45,realtime,69900.0,30100.0,39800.0,0.7,21450.0,10500.0,21500.0,130300.0,21400.0,218400.0,21550.0,90800.0,21350.0,51600.0,21600.0,23400.0,12M,21.5,22.1,22.18,14.18,22.69,21.57,-0.36,-2.71,-0.32,40.76,-0.16,-0.09,-0.07,7.97,12.57,21.49,22.2,22.9,0.42,0.01,1.95,-136627137.0,-0.15,44.03,21.86,-2.1,-28.57,22.85,21.3,-224346499.79,-10.25,-959686.01,-87.1,0.02,175100.0,7500320.0,23.85,18.7,-2.49,-3.15,2026-09-25,False,0,True,362128442.0,1741326587.0,212.71,468.39,-255.69,-219.69,-1.17,0.5,-37.41,-34688410000.0,-163927265000.0,1.26,0.0,0.0,0.0,,2026-Q2,8.24,1.3,16.0,2.0,0.0,,,0.0,68.0,45.0,0.0,,0.0,9142900000.0,,4292478000.0,6427073000.0,0.0,0.03,-0.01,-0.02,-0.12,-1,1067845075000.0,99314518000.0,968530557000.0,,,9.75,28160074000.0,-304232000.0,-4466658000.0,27855842000.0,1.8,26,16,10,0,Ngân hàng,8300,ACB,Ngân hàng Thương mại Cổ phần Á Châu,-0.83,-2.15,-873805000.0,3884430000.0,-0.23,0.06,0,False,False,0,,,2026-09-25 09:28
ANV,GAINER,HSX,2026-09-25 09:26,2026-09-25,09:26,16.2,ta_last_close,,,,,16100.0,1700.0,16200.0,4200.0,16000.0,6000.0,16300.0,2000.0,15900.0,2300.0,16350.0,3000.0,12M,16.2,16.36,17.34,22.93,16.75,22.28,-5.65,-0.98,-27.29,43.13,-0.36,0.07,-0.43,49.22,43.62,15.16,16.41,17.67,0.44,0.41,2.72,-746176.0,-0.21,48.31,15.61,-1.31,-50.0,17.8,15.25,-38213051.35,-4.79,12457.87,-47.22,0.49,207500.0,422880.0,33.4,15.25,0.0,-5.81,2026-09-25,False,0,True,123831475.0,130667075.0,2.24,3.93,-1.69,0.83,-0.02,0.56,-0.39,334500000.0,330030000.0,0.01,2.0,2.0,0.0,Doãn Chí Thiên,2026-Q2,5.39,1.21,24.0,14.0,507.0,,,0.0,20.0,11.0,1.08,,5.52,1937045719.52,311757820.49,134869981.06,159093818.33,507.0,0.05,-0.31,0.12,-0.59,-1,6433725742.77,3857096522.11,2576629220.66,1824026821.46,38864453.66,0.67,997997131.07,-797009360.7,,200987770.37,1.0,21,18,5,-2,Thực phẩm và đồ uống,3500,Thủy sản Nam Việt,Công ty Cổ phần Nam Việt,-0.83,-2.15,-32400000.0,69660000.0,-0.47,0.06,0,False,False,0,Mua,True,2026-09-25 09:28
BAF,GAINER,HSX,2026-09-25 09:26,2026-09-25,09:26,31.65,realtime,95300.0,183200.0,-87900.0,0.34,31650.0,14800.0,31700.0,14900.0,31600.0,10800.0,31750.0,12000.0,31550.0,16700.0,31800.0,26100.0,12M,31.7,31.87,31.38,24.78,31.03,30.14,1.56,-0.53,5.18,47.54,0.07,-0.13,0.2,29.51,23.04,31.51,32.08,32.65,0.44,0.17,1.39,86008913.0,0.28,29.9,31.67,-1.13,-92.86,33.0,31.3,160030610.68,5.82,-52068.35,-57.89,0.17,302100.0,1748495.0,33.0,25.37,-1.09,-2.76,2026-09-25,False,0,True,167678968.0,182412453.0,18.04,22.05,-4.01,42.79,-1.11,0.38,-3.48,-8638592000.0,-8600777000.0,0.17,0.0,0.0,0.0,,2026-Q2,124.58,2.71,2.0,1.0,344.0,,,0.0,14.0,1.0,0.93,,18.96,2137095708.33,346232747.2,104485399.04,125312868.86,344.0,0.21,-0.49,0.54,-0.5,-1,13516078927.29,4355960542.1,9160118385.19,3018948077.61,3218147552.89,2.1,-1379717534.3,-1464058853.35,,-2843776387.65,-10.9,-16,-8,-10,2,Thực phẩm và đồ uống,3500,Nông nghiệp BAF Việt Nam,Công ty Cổ phần Nông nghiệp BAF Việt Nam,-0.83,-2.15,5091530000.0,10112780000.0,0.5,0.06,0,False,False,0,,,2026-09-25 09:28
BCM,GAINER,HSX,2026-09-25 09:26,2026-09-25,09:26,41.05,realtime,3600.0,9000.0,-5400.0,0.29,40950.0,200.0,41000.0,800.0,40900.0,1600.0,41050.0,1500.0,40850.0,4000.0,41150.0,500.0,12M,41.05,40.84,42.35,10.86,44.1,52.5,-3.57,0.51,-21.81,49.91,-0.37,0.07,-0.44,44.37,35.92,38.28,41.21,44.13,1.39,0.47,3.39,-9808556.0,-0.37,45.28,39.47,-1.59,-35.71,45.5,38.6,-23651703.21,-21.96,31012.3,-43.68,0.04,25500.0,612675.0,82.28,33.9,5.66,-1.2,2026-09-25,False,0,True,348559849.0,351900000.0,8.12,1.84,6.28,4.35,0.18,0.56,0.98,25545000.0,25545000.0,,0.0,0.0,0.0,,2026-Q2,21.51,2.11,10.0,4.0,169.0,,,0.0,66.0,52.0,0.49,,51.51,890896983.04,544216609.1,204492998.89,200750958.93,169.0,-0.19,-0.27,-0.69,-0.86,-1,62605883504.74,22453622374.83,40152261129.9,9433653546.78,16900243201.26,1.79,-222925896.41,-1871098203.92,,-2094024100.33,-0.06,-13,3,-10,-6,Bất động sản,8600,Becamex Group,Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP,-0.83,-2.15,-451960000.0,1371380000.0,-0.33,0.06,0,False,False,0,,,2026-09-25 09:28
BID,GAINER,HSX,2026-09-25 09:26,2026-09-25,09:26,36.0,realtime,35800.0,19700.0,16100.0,0.65,35900.0,20300.0,35950.0,3100.0,35850.0,21700.0,36000.0,20100.0,35800.0,23000.0,36050.0,10200.0,12M,35.95,36.2,36.42,13.32,34.82,37.62,-0.6,-0.69,-4.44,47.07,-0.05,-0.04,-0.01,32.7,36.06,35.52,36.31,37.09,0.75,0.27,2.09,1598384.0,-0.31,28.01,35.97,-0.66,28.57,37.85,35.2,-190546115.69,-12.9,-588146.91,-71.7,0.02,67500.0,3724231.0,52.37,32.15,0.98,-2.04,2026-09-25,False,0,True,968859450.0,2333468841.0,264.11,357.74,-58.32,117.74,-1.17,0.5,-19.02,3862000000.0,-46277165000.0,0.56,0.0,0.0,0.0,,2026-Q2,8.68,1.49,18.0,1.0,0.0,,,0.0,67.0,34.0,0.0,,0.0,23637194000.0,,8146256000.0,16153261000.0,0.0,0.14,0.2,0.07,0.21,1,3440840854000.0,198783286000.0,3242057568000.0,,,16.31,192940485000.0,-1638693000.0,14251434000.0,191301792000.0,6.45,32,16,10,6,Ngân hàng,8300,BIDV,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,-0.83,-2.15,-1133212700.0,2745835000.0,-0.41,0.06,0,False,False,0,,,2026-09-25 09:28
BMP,GAINER,HSX,2026-09-25 09:27,2026-09-25,09:26,146.6,realtime,1600.0,100.0,1500.0,0.94,146400.0,1000.0,146800.0,100.0,146100.0,800.0,146900.0,600.0,146000.0,1400.0,147000.0,5200.0,12M,146.6,144.49,145.19,19.54,139.97,145.95,-0.48,1.46,0.45,55.31,-0.11,0.61,-0.72,82.99,74.31,138.85,143.55,148.24,2.27,0.83,1.55,-736602.0,-0.11,61.25,144.8,1.49,7.14,147.6,138.0,-676193.01,-29.09,40868.22,-10.42,0.04,3100.0,73230.0,180.67,114.64,4.49,1.45,2026-09-25,False,0,True,14417738.0,81860938.0,7.29,2.27,5.02,10.19,0.25,0.38,0.37,216000000.0,-2237360000.0,0.05,0.0,0.0,0.0,,2026-Q2,9.2,4.14,43.0,35.0,4486.0,,,0.0,47.0,23.0,3.97,,6.26,1319560280.24,616687292.13,367189104.89,457725438.85,4486.0,-0.09,0.21,0.01,0.11,1,3355304197.14,2851963910.26,503340286.88,54900000.0,0.0,0.18,1218889664.9,-381977475.07,,836912189.83,0.99,21,12,5,4,Xây dựng và Vật liệu,2300,Nhựa Bình Minh,Công ty Cổ phần Nhựa Bình Minh,-0.83,-2.15,-43950000.0,454060000.0,-0.1,0.06,0,False,False,0,,,2026-09-25 09:28
BSI,GAINER,HSX,2026-09-25 09:27,2026-09-25,09:26,26.55,realtime,0.0,1000.0,-1000.0,0.0,26450.0,100.0,26550.0,7600.0,26350.0,300.0,26700.0,1000.0,26300.0,800.0,26750.0,100.0,12M,26.55,27.39,28.63,24.78,28.55,32.29,-4.33,-3.07,-17.78,37.42,-0.65,-0.04,-0.61,16.28,17.98,25.45,27.67,29.88,0.73,0.25,2.75,-7859510.0,-0.34,29.0,26.05,-3.56,-35.71,29.9,26.0,-22614774.6,-9.2,-14961.78,-81.67,0.02,5100.0,302020.0,43.55,25.5,-0.93,-8.29,2026-09-25,False,0,True,174362400.0,269901549.0,1.59,4.6,-3.01,-5.13,-0.01,0.38,-0.28,-95285000.0,-95285000.0,,0.0,0.0,0.0,,2026-Q2,15.05,1.38,9.0,3.0,424.0,,,0.0,59.0,20.0,1.39,,14.68,616834996.67,410819217.19,123215863.13,,424.0,-0.12,0.39,0.22,0.21,1,19479336191.99,5695829407.49,13783506784.5,11814757188.71,0.0,2.42,-4249312491.87,2339390.08,,-4246973101.79,-8.61,-2,6,-10,2,Dịch vụ tài chính,8700,Chứng khoán BIDV,Công ty Cổ phần Chứng khoán BIDV,-0.83,-2.15,0.0,146025000.0,0.0,0.06,0,False,False,0,,,2026-09-25 09:28
BSR,GAINER,HSX,2026-09-25 09:27,2026-09-25,09:26,30.35,realtime,407100.0,50300.0,356800.0,0.89,30250.0,1300.0,30300.0,39100.0,30200.0,4400.0,30350.0,81300.0,30150.0,16500.0,30400.0,134400.0,12M,30.25,29.13,27.62,35.13,27.91,24.37,5.47,3.84,24.13,61.49,1.23,0.11,1.12,73.74,82.22,24.87,28.69,32.51,1.19,0.7,3.93,614887725.0,-0.25,67.28,31.5,6.6,92.86,32.1,26.2,-336386057.39,-21.46,1468988.02,-31.9,0.08,980700.0,12490480.0,39.16,13.35,9.8,13.3,2026-09-25,False,0,True,2376324031.0,2453576846.0,330.15,309.94,20.21,628.22,0.82,0.69,-35.22,-1229465000.0,8671853000.0,-0.11,0.0,0.0,0.0,,2026-Q2,6.83,1.81,30.0,21.0,1490.0,,,0.0,13.0,11.0,2.55,,6.09,58716465944.27,8606252281.39,7460077717.68,8448699731.76,1490.0,0.28,-0.1,0.6,7.82,1,105418649698.73,74359830656.85,31058819041.88,12766300000.0,0.0,0.42,5258073731.08,-21662245604.64,,-16404171873.56,1.01,32,18,10,4,Dầu khí,0500,Lọc Hoá dầu Việt Nam,Công ty Cổ phần - Tổng Công ty Lọc Hoá dầu Việt Nam,-0.83,-2.15,2790920000.0,30829805000.0,0.09,0.06,0,False,False,0,,,2026-09-25 09:28
BVH,LOSER,HSX,2026-09-25 09:27,2026-09-25,09:26,69.1,realtime,5900.0,7700.0,-1800.0,0.43,68900.0,500.0,69000.0,4000.0,68800.0,2900.0,69100.0,4900.0,68700.0,3900.0,69200.0,4100.0,12M,68.9,67.46,65.85,30.37,63.85,65.06,2.44,2.13,5.9,57.52,1.48,0.17,1.31,71.16,74.78,60.74,66.63,72.52,1.96,0.69,2.84,12377391.0,0.05,63.41,70.63,4.5,35.71,71.7,62.5,4283739.19,16.29,295512.63,-31.46,0.04,27600.0,666760.0,88.5,46.21,7.66,8.33,2026-09-25,False,0,True,160588170.0,363738154.0,53.56,108.65,-88.33,-21.67,-1.45,0.44,-16.31,225280000.0,2092880000.0,-0.12,0.0,0.0,0.0,,2026-Q2,14.09,1.78,13.0,1.0,1391.0,,,0.0,1.0,8.0,1.75,,-5.24,10703923026.13,983097692.63,1032446604.64,0.0,1391.0,0.09,0.29,0.0,0.55,1,315683216961.83,27324386689.12,288358830272.71,3599959728.47,754000.0,10.55,5793873750.87,-24150042247.94,,-18356168497.07,2.04,26,10,10,6,Bảo hiểm,8500,Tập đoàn Bảo Việt,Tập đoàn Bảo Việt,-0.83,-2.15,-1264260000.0,2031640000.0,-0.62,0.06,0,False,False,0,,,2026-09-25 09:28
BWE,GAINER,HSX,2026-09-25 09:27,2026-09-25,09:26,40.85,ta_last_close,,,,,40550.0,200.0,41400.0,1300.0,40500.0,1000.0,41500.0,500.0,40350.0,100.0,41750.0,400.0,12M,40.85,41.89,42.56,58.38,43.08,43.3,-1.57,-2.48,-5.66,34.49,-0.48,-0.03,-0.45,39.37,37.91,40.96,41.83,42.7,0.71,0.0,1.74,-3935563.0,0.08,17.67,41.31,-0.76,-14.29,42.7,40.5,-656571.32,5.35,-10627.77,-80.0,1.69,37300.0,22085.0,48.03,39.94,-2.16,-4.11,2026-09-25,False,0,True,103013488.0,107765035.0,0.14,3.49,-3.35,-5.52,-0.03,0.0,-0.33,,,,20.0,20.0,0.0,Nguyễn Văn Thiền,2026-Q2,8.75,1.47,18.0,7.0,1271.0,,,0.0,45.0,24.0,0.85,,8.68,1222425768.02,564966154.12,324827506.16,363937181.23,1271.0,0.18,0.52,-0.08,0.07,1,15450414743.55,6393734955.99,9056679787.56,1777873088.74,5409960013.14,1.42,1088372266.13,-1121804258.41,,-33431992.28,1.1,34,16,10,8,"Điện, nước & xăng dầu khí đốt",7500,Nước - Môi trường Bình Dương,Công ty Cổ phần - Tổng công ty Nước - Môi trường Bình Dương,-0.83,-2.15,0.0,0.0,,0.06,0,False,False,0,Mua,True,2026-09-25 09:28
