symbol,price_change_percent_1d,price_change_1d,accumulated_value,group,exchange,date,updated_at
ACB,0.9,0.2,200.15,GAINER,HSX,2026-07-07,2026-07-07 13:53
ANV,-0.74,-0.15,5.63,LOSER,HSX,2026-07-07,2026-07-07 13:53
BAF,,,,GAINER,HSX,2026-07-07,2026-07-07 13:53
BCM,,,,GAINER,HSX,2026-07-07,2026-07-07 13:53
BID,0.36,0.15,66.38,GAINER,HSX,2026-07-07,2026-07-07 13:53
BMP,0.67,1.0,7.48,GAINER,HSX,2026-07-07,2026-07-07 13:53
BSI,2.27,0.8,19.11,GAINER,HSX,2026-07-07,2026-07-07 13:53
BSR,1.49,0.35,112.77,GAINER,HSX,2026-07-07,2026-07-07 13:53
BVH,0.33,0.2,19.55,GAINER,HSX,2026-07-07,2026-07-07 13:53
BVS,,,,GAINER,HNX,2026-07-07,2026-07-07 13:53
BWE,,,,GAINER,HSX,2026-07-07,2026-07-07 13:53
CAP,,,,GAINER,HNX,2026-07-07,2026-07-07 13:53
CEO,,,,GAINER,HNX,2026-07-07,2026-07-07 13:53
CII,,,,GAINER,HSX,2026-07-07,2026-07-07 13:53
CMG,-0.55,-0.15,3.36,LOSER,HSX,2026-07-07,2026-07-07 13:53
CTD,-1.71,-1.2,36.12,LOSER,HSX,2026-07-07,2026-07-07 13:53
CTG,-0.29,-0.1,99.09,LOSER,HSX,2026-07-07,2026-07-07 13:53
CTR,0.36,0.3,7.97,GAINER,HSX,2026-07-07,2026-07-07 13:53
CTS,4.44,1.2,54.06,GAINER,HSX,2026-07-07,2026-07-07 13:53
DBC,-0.82,-0.15,27.76,LOSER,HSX,2026-07-07,2026-07-07 13:53
DCM,0.72,0.25,29.49,GAINER,HSX,2026-07-07,2026-07-07 13:53
DGW,,,,GAINER,HSX,2026-07-07,2026-07-07 13:53
DIG,-0.42,-0.05,64.65,LOSER,HSX,2026-07-07,2026-07-07 13:53
DP3,,,,GAINER,HNX,2026-07-07,2026-07-07 13:53
DPM,0.89,0.2,39.35,GAINER,HSX,2026-07-07,2026-07-07 13:53
DSE,0.22,0.05,13.87,GAINER,HSX,2026-07-07,2026-07-07 13:53
DTD,,,,GAINER,HNX,2026-07-07,2026-07-07 13:53
DVM,,,,GAINER,HNX,2026-07-07,2026-07-07 13:53
DXG,,,,GAINER,HSX,2026-07-07,2026-07-07 13:53
DXP,,,,GAINER,HNX,2026-07-07,2026-07-07 13:53
DXS,,,,GAINER,HSX,2026-07-07,2026-07-07 13:53
EIB,1.25,0.25,46.25,GAINER,HSX,2026-07-07,2026-07-07 13:53
EVF,-0.39,-0.05,20.6,LOSER,HSX,2026-07-07,2026-07-07 13:53
FPT,,,,GAINER,HSX,2026-07-07,2026-07-07 13:53
FRT,-0.95,-1.1,20.6,LOSER,HSX,2026-07-07,2026-07-07 13:53
FTS,2.6,0.7,33.39,GAINER,HSX,2026-07-07,2026-07-07 13:53
GAS,1.35,1.0,34.3,GAINER,HSX,2026-07-07,2026-07-07 13:53
GEE,4.22,3.5,113.54,GAINER,HSX,2026-07-07,2026-07-07 13:53
GEX,0.52,0.15,168.15,GAINER,HSX,2026-07-07,2026-07-07 13:53
GMD,-0.13,-0.1,111.19,LOSER,HSX,2026-07-07,2026-07-07 13:53
GVR,1.29,0.4,50.01,GAINER,HSX,2026-07-07,2026-07-07 13:53
HAG,-0.67,-0.1,9.57,LOSER,HSX,2026-07-07,2026-07-07 13:53
HCM,0.72,0.2,37.8,GAINER,HSX,2026-07-07,2026-07-07 13:53
HDB,1.29,0.35,428.11,GAINER,HSX,2026-07-07,2026-07-07 13:53
HDC,-0.68,-0.1,4.91,LOSER,HSX,2026-07-07,2026-07-07 13:53
HDG,-0.27,-0.05,78.84,LOSER,HSX,2026-07-07,2026-07-07 13:53
HHV,0.9,0.1,19.39,GAINER,HSX,2026-07-07,2026-07-07 13:53
HPG,-0.22,-0.05,212.48,LOSER,HSX,2026-07-07,2026-07-07 13:53
HSG,-0.44,-0.05,37.05,LOSER,HSX,2026-07-07,2026-07-07 13:53
HT1,,,,GAINER,HSX,2026-07-07,2026-07-07 13:53
HUT,,,,GAINER,HNX,2026-07-07,2026-07-07 13:53
IDC,,,,GAINER,HNX,2026-07-07,2026-07-07 13:53
IDV,,,,GAINER,HNX,2026-07-07,2026-07-07 13:53
IMP,-2.21,-0.95,0.16,LOSER,HSX,2026-07-07,2026-07-07 13:53
KBC,,,,GAINER,HSX,2026-07-07,2026-07-07 13:53
KDC,-0.1,-0.05,1.94,LOSER,HSX,2026-07-07,2026-07-07 13:53
KDH,,,,GAINER,HSX,2026-07-07,2026-07-07 13:53
KOS,0.14,0.05,6.27,GAINER,HSX,2026-07-07,2026-07-07 13:53
L14,,,,GAINER,HNX,2026-07-07,2026-07-07 13:53
L18,,,,GAINER,HNX,2026-07-07,2026-07-07 13:53
LAS,,,,GAINER,HNX,2026-07-07,2026-07-07 13:53
LHC,,,,GAINER,HNX,2026-07-07,2026-07-07 13:53
LPB,3.31,1.7,66.34,GAINER,HSX,2026-07-07,2026-07-07 13:53
MBB,1.19,0.3,206.35,GAINER,HSX,2026-07-07,2026-07-07 13:53
MBS,,,,GAINER,HNX,2026-07-07,2026-07-07 13:53
MSB,0.32,0.05,20.46,GAINER,HSX,2026-07-07,2026-07-07 13:53
MSN,-2.7,-1.9,353.09,LOSER,HSX,2026-07-07,2026-07-07 13:53
MWG,-0.51,-0.4,92.09,LOSER,HSX,2026-07-07,2026-07-07 13:53
NAB,-1.5,-0.2,22.68,LOSER,HSX,2026-07-07,2026-07-07 13:53
NDN,,,,GAINER,HNX,2026-07-07,2026-07-07 13:53
NKG,-0.83,-0.1,7.52,LOSER,HSX,2026-07-07,2026-07-07 13:53
NLG,0.39,0.1,27.14,GAINER,HSX,2026-07-07,2026-07-07 13:53
NT2,0.23,0.05,3.85,GAINER,HSX,2026-07-07,2026-07-07 13:53
NTP,,,,GAINER,HNX,2026-07-07,2026-07-07 13:53
NVL,-0.4,-0.05,46.35,LOSER,HSX,2026-07-07,2026-07-07 13:53
OCB,0.44,0.05,27.07,GAINER,HSX,2026-07-07,2026-07-07 13:53
PAN,-0.9,-0.2,4.2,LOSER,HSX,2026-07-07,2026-07-07 13:53
PC1,2.19,0.45,65.72,GAINER,HSX,2026-07-07,2026-07-07 13:53
PDR,-1.05,-0.15,45.24,LOSER,HSX,2026-07-07,2026-07-07 13:53
PHR,1.27,0.8,15.74,GAINER,HSX,2026-07-07,2026-07-07 13:53
PLC,,,,GAINER,HNX,2026-07-07,2026-07-07 13:53
PLX,-0.14,-0.05,63.09,LOSER,HSX,2026-07-07,2026-07-07 13:53
PNJ,-6.96,-3.8,48.33,LOSER,HSX,2026-07-07,2026-07-07 13:53
POW,-0.68,-0.1,85.01,LOSER,HSX,2026-07-07,2026-07-07 13:53
PSD,,,,GAINER,HNX,2026-07-07,2026-07-07 13:53
PVB,,,,GAINER,HNX,2026-07-07,2026-07-07 13:53
PVC,,,,GAINER,HNX,2026-07-07,2026-07-07 13:53
PVD,3.65,1.15,90.9,GAINER,HSX,2026-07-07,2026-07-07 13:53
PVS,,,,GAINER,HNX,2026-07-07,2026-07-07 13:53
PVT,-1.57,-0.3,44.58,LOSER,HSX,2026-07-07,2026-07-07 13:53
REE,-0.85,-0.4,17.12,LOSER,HSX,2026-07-07,2026-07-07 13:53
SAB,0.11,0.05,12.27,GAINER,HSX,2026-07-07,2026-07-07 13:53
SBT,-0.71,-0.15,10.56,LOSER,HSX,2026-07-07,2026-07-07 13:53
SCS,0.1,0.05,1.93,GAINER,HSX,2026-07-07,2026-07-07 13:53
SHB,-0.37,-0.05,385.47,LOSER,HSX,2026-07-07,2026-07-07 13:53
SHS,,,,GAINER,HNX,2026-07-07,2026-07-07 13:53
SIP,-0.2,-0.1,2.2,LOSER,HSX,2026-07-07,2026-07-07 13:53
SJS,-0.42,-0.2,0.03,LOSER,HSX,2026-07-07,2026-07-07 13:53
SLS,,,,GAINER,HNX,2026-07-07,2026-07-07 13:53
SSB,-0.3,-0.05,22.74,LOSER,HSX,2026-07-07,2026-07-07 13:53
SSI,-0.37,-0.1,221.91,LOSER,HSX,2026-07-07,2026-07-07 13:53
STB,0.56,0.4,127.76,GAINER,HSX,2026-07-07,2026-07-07 13:53
SZC,,,,GAINER,HSX,2026-07-07,2026-07-07 13:53
TCB,-0.3,-0.1,155.81,LOSER,HSX,2026-07-07,2026-07-07 13:53
TCH,1.47,0.2,42.84,GAINER,HSX,2026-07-07,2026-07-07 13:53
TMB,,,,GAINER,HNX,2026-07-07,2026-07-07 13:53
TNG,,,,GAINER,HNX,2026-07-07,2026-07-07 13:53
TPB,,,,GAINER,HSX,2026-07-07,2026-07-07 13:53
TVD,,,,GAINER,HNX,2026-07-07,2026-07-07 13:53
VC3,,,,GAINER,HNX,2026-07-07,2026-07-07 13:53
VCB,-0.16,-0.1,100.09,LOSER,HSX,2026-07-07,2026-07-07 13:53
VCG,0.5,0.1,23.85,GAINER,HSX,2026-07-07,2026-07-07 13:53
VCI,,,,GAINER,HSX,2026-07-07,2026-07-07 13:53
VCS,,,,GAINER,HNX,2026-07-07,2026-07-07 13:53
VFS,,,,GAINER,HNX,2026-07-07,2026-07-07 13:53
VGC,,,,GAINER,HSX,2026-07-07,2026-07-07 13:53
VHC,0.52,0.3,5.89,GAINER,HSX,2026-07-07,2026-07-07 13:53
VHM,-2.21,-3.4,404.14,LOSER,HSX,2026-07-07,2026-07-07 13:53
VIB,,,,GAINER,HSX,2026-07-07,2026-07-07 13:53
VIC,-0.59,-1.3,368.32,LOSER,HSX,2026-07-07,2026-07-07 13:53
VIX,0.92,0.15,264.38,GAINER,HSX,2026-07-07,2026-07-07 13:53
VJC,-1.35,-1.9,62.08,LOSER,HSX,2026-07-07,2026-07-07 13:53
VND,0.27,0.05,156.7,GAINER,HSX,2026-07-07,2026-07-07 13:53
VNM,-0.36,-0.2,63.68,LOSER,HSX,2026-07-07,2026-07-07 13:53
VPB,-0.36,-0.1,155.89,LOSER,HSX,2026-07-07,2026-07-07 13:53
VPI,-0.32,-0.2,22.4,LOSER,HSX,2026-07-07,2026-07-07 13:53
VPL,-0.72,-0.6,42.55,LOSER,HSX,2026-07-07,2026-07-07 13:53
VRE,-1.44,-0.4,59.28,LOSER,HSX,2026-07-07,2026-07-07 13:53
VSC,,,,GAINER,HSX,2026-07-07,2026-07-07 13:53
VTP,0.16,0.1,10.52,GAINER,HSX,2026-07-07,2026-07-07 13:53
