symbol,exchange,decision,confidence,entry_style,price,entry_low,entry,entry_high,stop_loss,risk_pct,tp1,tp2,rr_tp1,rr_headroom,size_hint,nearest_support,nearest_resist,levels_used,flags,skip
ACB,HSX,BUY,HIGH,BREAKOUT,22.8,22.75,22.8,22.8,21.9,3.95,24.15,,1.5,0.24,FULL,22.43,23.02,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","CONSENSUS_BULL,SINGLE_TP_ONLY,TIGHT_HEADROOM",
ANV,HSX,SELL,MEDIUM,PULLBACK,20.0,19.7,19.75,20.0,19.4,1.77,20.25,20.85,1.43,0.86,NO_TRADE,19.74,20.05,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","VALUE_OPPORTUNITY,TP2_FORCED_GAP,TIGHT_HEADROOM,REF_ONLY",not_buy
BAF,HSX,NEUTRAL,MEDIUM,PULLBACK,30.1,29.8,29.8,30.1,29.6,0.67,30.1,31.0,1.5,2.4,NO_TRADE,29.8,30.28,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","TP2_FORCED_GAP,REF_ONLY",not_buy
BCM,HSX,NEUTRAL,MEDIUM,PULLBACK,50.4,50.0,50.1,50.4,49.6,1.0,50.8,52.3,1.4,4.8,NO_TRADE,50.06,52.5,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","TP2_FORCED_GAP,REF_ONLY",not_buy
BID,HSX,NEUTRAL,MEDIUM,PULLBACK,41.25,41.2,41.2,41.25,40.25,2.31,42.6,43.9,1.47,0.32,NO_TRADE,41.2,41.5,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","TP2_FORCED_GAP,TIGHT_HEADROOM,REF_ONLY",not_buy
BMP,HSX,BUY,MEDIUM,PULLBACK,145.5,145.0,145.0,145.5,143.3,1.17,147.5,151.9,1.47,0.59,HALF,145.0,146.0,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","TP2_FORCED_GAP,TIGHT_HEADROOM",
BSI,HSX,NEUTRAL,MEDIUM,PULLBACK,35.9,35.7,35.7,35.9,33.8,5.32,37.25,38.4,0.82,0.24,NO_TRADE,35.7,36.15,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","TP1_PULLED_BACK,TP_NEAR_CEILING,TIGHT_HEADROOM,REF_ONLY",not_buy
BSR,HSX,NEUTRAL,MEDIUM,PULLBACK,26.35,26.2,26.2,26.35,23.0,12.21,27.3,28.15,0.34,0.09,NO_TRADE,26.2,26.5,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","TP1_PULLED_BACK,TP_NEAR_CEILING,TIGHT_HEADROOM,STOP_BELOW_FLOOR,SKIP_WIDE_STOP,REF_ONLY",wide_stop
BVH,HSX,SELL,MEDIUM,PULLBACK,60.1,60.0,60.0,60.1,58.4,2.67,62.4,64.2,1.5,0.19,NO_TRADE,60.0,60.3,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","TP2_FORCED_GAP,TIGHT_HEADROOM,REF_ONLY",not_buy
BVS,HNX,NEUTRAL,HIGH,PULLBACK,36.0,35.5,35.5,36.0,32.0,9.86,38.4,39.6,0.83,0.23,NO_TRADE,35.5,36.3,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","CONSENSUS_BULL,TP1_PULLED_BACK,TP_NEAR_CEILING,TIGHT_HEADROOM,STOP_BELOW_FLOOR,SKIP_WIDE_STOP,REF_ONLY",wide_stop
BWE,HSX,BUY,MEDIUM,PULLBACK,45.2,45.1,45.15,45.2,44.45,1.55,46.15,47.55,1.43,0.93,HALF,45.15,45.8,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","TP2_FORCED_GAP,TIGHT_HEADROOM",
CAP,HNX,NEUTRAL,MEDIUM,PULLBACK,46.7,46.2,46.2,46.7,44.7,3.25,48.4,49.9,1.47,0.67,NO_TRADE,46.2,47.2,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","TP2_FORCED_GAP,TIGHT_HEADROOM,REF_ONLY",not_buy
CEO,HNX,SELL,MEDIUM,PULLBACK,14.1,13.8,13.8,14.1,13.4,2.9,14.4,14.8,1.5,1.25,NO_TRADE,13.82,14.3,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","TP2_FORCED_GAP,TIGHT_HEADROOM,REF_ONLY",not_buy
CII,HSX,STRONG SELL,HIGH,PULLBACK,16.3,16.25,16.25,16.3,15.35,5.54,16.9,17.4,0.72,0.39,NO_TRADE,16.25,16.6,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","CONSENSUS_BEAR,TP1_PULLED_BACK,TP_NEAR_CEILING,TIGHT_HEADROOM,REF_ONLY",not_buy
CMG,HSX,SELL,MEDIUM,PULLBACK,27.05,26.95,26.95,27.05,26.65,1.11,27.35,28.2,1.33,2.17,NO_TRADE,26.95,27.6,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","TP2_FORCED_GAP,REF_ONLY",not_buy
CTD,HSX,SELL,MEDIUM,PULLBACK,69.5,68.0,68.0,69.5,65.4,3.82,71.8,74.0,1.46,0.65,NO_TRADE,68.0,69.7,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","TP2_FORCED_GAP,TIGHT_HEADROOM,REF_ONLY",not_buy
CTG,HSX,NEUTRAL,MEDIUM,PULLBACK,34.05,33.6,33.65,34.05,32.85,2.38,34.8,35.85,1.44,0.81,NO_TRADE,33.65,34.3,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","TP2_FORCED_GAP,TIGHT_HEADROOM,REF_ONLY",not_buy
CTR,HSX,NEUTRAL,MEDIUM,PULLBACK,75.0,74.0,74.1,75.0,71.9,2.97,77.3,79.7,1.45,0.69,NO_TRADE,74.1,75.61,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","TP2_FORCED_GAP,TIGHT_HEADROOM,REF_ONLY",not_buy
CTS,HSX,NEUTRAL,MEDIUM,PULLBACK,28.6,27.8,27.8,28.6,27.0,2.88,29.0,29.85,1.5,1.12,NO_TRADE,27.8,28.7,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","TP2_FORCED_GAP,TIGHT_HEADROOM,REF_ONLY",not_buy
